game,ply,player,row,col,arena_limit_ms,response_us,timeout,overrun
0,0,0,4,4,1000,914428,0,0
0,1,1,4,3,1000,133,0,0
0,2,0,5,1,100,90589,0,0
0,3,1,8,4,100,230,0,0
0,4,0,8,5,100,90333,0,0
0,5,1,8,8,100,141,0,0
0,6,0,8,6,100,90519,0,0
0,7,1,8,0,100,130,0,0
0,8,0,6,2,100,90463,0,0
0,9,1,0,8,100,168,0,0
0,10,0,0,6,100,90523,0,0
0,11,1,0,0,100,94058,0,0
0,12,0,1,0,100,90497,0,0
0,13,1,3,1,100,82875,0,0
0,14,0,1,5,100,90369,0,0
0,15,1,4,8,100,84999,0,0
0,16,0,4,6,100,90467,0,0
0,17,1,3,2,100,72927,0,0
0,18,0,1,6,100,90207,0,0
0,19,1,3,0,100,78898,0,0
0,20,0,1,1,100,90602,0,0
0,21,1,5,3,100,73791,0,0
0,22,0,6,1,100,90278,0,0
0,23,1,0,4,100,93875,0,0
0,24,0,2,5,100,90265,0,0
0,25,1,7,8,100,74212,0,0
0,26,0,5,6,100,90450,0,0
0,27,1,8,1,100,73884,0,0
0,28,0,6,5,100,90287,0,0
0,29,1,2,8,100,87381,0,0
0,30,0,6,7,100,90505,0,0
0,31,1,0,5,100,92536,0,0
0,32,0,2,6,100,90785,0,0
0,33,1,8,2,100,71125,0,0
0,34,0,6,8,100,90506,0,0
0,35,1,0,3,100,91499,0,0
0,36,0,1,2,100,90416,0,0
0,37,1,5,8,100,52318,0,0
0,38,0,7,7,100,68012,0,0
0,39,1,3,3,100,1571,0,0
0,40,0,3,6,100,316,0,0
