move,budget_ms,elapsed_ms,legal_moves,possibilities_evaluated,deepest_completed_ply,winning_row,winning_col,winning_score,scored_positions,cache_lookups,cache_hits,search
1,900,900.101,81,94,6,4,4,212,691328,798080,13201,shallow
2,90,90.207,9,11,6,5,1,588,115367,133120,1765,shallow
3,90,90.088,8,10,6,8,5,476,99963,115712,1515,shallow
4,90,90.178,8,10,6,8,6,379,102213,118912,1700,shallow
5,90,90.202,8,10,6,6,2,315,97600,114240,1839,shallow
6,90,90.131,8,11,6,0,6,260,100859,118720,2062,shallow
7,90,90.127,8,12,6,1,0,247,94843,112256,2036,shallow
8,90,90.131,9,14,6,1,5,247,105982,126400,2565,shallow
9,90,90.180,8,15,6,4,6,169,121732,146880,3649,shallow
10,90,90.067,7,14,6,1,6,61,120888,145600,3053,shallow
11,90,90.187,7,8,6,1,1,0,109077,126016,3154,shallow
12,90,90.072,7,8,6,6,1,-144,107594,124672,3278,shallow
13,90,90.060,7,9,6,2,5,-341,116288,135744,3726,shallow
14,90,90.120,7,10,6,5,6,-352,124618,145339,4284,shallow
15,90,90.054,7,10,6,6,5,-194,125988,149550,5306,shallow
16,90,90.178,6,9,6,6,7,-504,124344,149294,6599,shallow
17,90,90.355,5,8,6,2,6,-504,118649,142579,7932,shallow
18,90,90.135,5,6,6,6,8,0,105009,136089,15648,shallow
19,90,90.142,6,6,4,1,2,-701,120241,170408,33332,shallow
20,90,67.664,4,7,6,7,7,60000,85616,164728,59846,shallow
21,90,0.177,11,1,4,3,6,60000,0,0,0,shallow
