worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits
1,0,20261001,4,4,4,4,0,0,-1,played,37,4d2d231a06576d5d,3iar,0,0,0,0,0,0,1,1532197,2819360,110206,0,0,0,0
1,1,20261002,1,0,0,3,1,0,-1,played,42,4ded995b70f9917e,3iar,0,0,0,0,0,0,1,2445281,3905834,208812,0,0,0,0
1,2,20261003,4,4,4,4,0,0,-1,played,41,2f0636e6553c7161,3iar,0,0,0,0,0,0,1,1713421,2944444,153671,0,0,0,0
1,3,20261004,1,0,0,3,1,1,-1,played,37,4b6363b82d9e0aa6,3iar,0,0,0,0,0,0,1,2287332,3555122,203112,0,0,0,0
1,4,20261005,4,4,4,4,0,0,-1,played,47,c1c13c6d09f58d75,3iar,0,0,0,0,0,0,1,1800817,3184658,435539,0,0,0,0
1,5,20261006,1,0,0,3,1,0,-1,played,46,12c716ee02e904bf,3iar,0,0,0,0,0,0,1,2610692,4175506,352999,0,0,0,0
1,6,20261007,4,4,4,4,0,0,-1,played,47,19bfa0b6c4b59aea,3iar,0,0,0,0,0,0,1,1915272,3388311,539163,0,0,0,0
1,7,20261008,1,0,0,3,1,1,-1,played,33,30b9cb74ec5a037b,3iar,0,0,0,0,0,0,1,2220725,3365098,229164,0,0,0,0
1,8,20261009,4,4,4,4,0,0,-1,played,43,91ef41ae38b3d05e,3iar,0,0,0,0,0,0,1,1800599,3220489,261511,0,0,0,0
1,9,20261010,1,0,0,3,1,1,-1,played,43,f5e12153631bc4ba,3iar,0,0,0,0,0,0,1,2505297,3805971,245386,0,0,0,0
1,10,20261011,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1614966,2960046,181007,0,0,0,0
1,11,20261012,1,0,0,3,1,0,-1,played,40,ba2ea13c60a6fed5,3iar,0,0,0,0,0,0,1,2475375,4040174,268027,0,0,0,0
1,12,20261013,4,4,4,4,0,0,-1,played,55,86956d18231ccc45,3iar,0,0,0,0,0,0,1,2163729,3702970,339144,0,0,0,0
1,13,20261014,1,0,0,3,1,0,-1,played,62,0d44c425abea6103,3iar,0,0,0,0,0,0,1,3313347,5233607,529617,0,0,0,0
1,14,20261015,4,4,4,4,0,0,-1,played,49,4f82b9d3fef8ce74,3iar,0,0,0,0,0,0,1,1904438,3207913,352276,0,0,0,0
1,15,20261016,1,0,0,3,1,1,-1,played,33,824434712a66869c,3iar,0,0,0,0,0,0,1,2162629,3181350,135226,0,0,0,0
1,16,20261017,4,4,4,4,0,0,-1,played,51,fa45796ace5c8635,3iar,0,0,0,0,0,0,1,1905422,3204913,576674,0,0,0,0
1,17,20261018,1,0,0,3,1,1,-1,played,41,25991cd803c47dbf,3iar,0,0,0,0,0,0,1,2521913,3947792,302141,0,0,0,0
1,18,20261019,4,4,4,4,0,0,-1,played,51,f486ff6babc408e3,3iar,0,0,0,0,0,0,1,1837409,3268392,264537,0,0,0,0
1,19,20261020,1,0,0,3,1,0,-1,played,52,6f9403426f89b7dd,3iar,0,0,0,0,0,0,1,2700855,4175834,502849,0,0,0,0
1,20,20261021,4,4,4,4,0,0,-1,played,51,0793649c6f48dea3,3iar,0,0,0,0,0,0,1,2035040,3547383,300489,0,0,0,0
1,21,20261022,1,0,0,3,1,0,-1,played,40,21da7805293b807f,3iar,0,0,0,0,0,0,1,2489151,3827756,384592,0,0,0,0
1,22,20261023,4,4,4,4,0,0,-1,played,45,8616d1e036d8dc76,3iar,0,0,0,0,0,0,1,1872743,3339572,306552,0,0,0,0
1,23,20261024,1,0,0,3,1,2,-1,played,53,4f73ad61baba01a7,draw,0,0,0,0,0,0,1,3150380,4303307,667793,0,0,0,0
1,24,20261025,4,4,4,4,0,2,-1,played,55,4c0b08b4c7bc1bc7,draw,0,0,0,0,0,0,1,2373801,3493210,915070,0,0,0,0
2,0,21261001,4,4,4,4,0,0,-1,played,41,f800456f841f5103,3iar,0,0,0,0,0,0,1,1549713,2842848,139925,0,0,0,0
2,1,21261002,1,0,0,3,1,0,-1,played,38,ba74293ce97733c6,3iar,0,0,0,0,0,0,1,2414538,3897641,322068,0,0,0,0
2,2,21261003,4,4,4,4,0,1,-1,played,48,4c23b12b99cc17cc,3iar,0,0,0,0,0,0,1,1821754,3205680,257332,0,0,0,0
2,3,21261004,1,0,0,3,1,0,-1,played,50,538acaaa4a4e2973,3iar,0,0,0,0,0,0,1,2791123,4392436,239029,0,0,0,0
2,4,21261005,4,4,4,4,0,0,-1,played,47,cccee80740bba469,3iar,0,0,0,0,0,0,1,1924240,3349137,386178,0,0,0,0
2,5,21261006,1,0,0,3,1,0,-1,played,44,9011788a4a235ee9,3iar,0,0,0,0,0,0,1,2611736,4108417,444672,0,0,0,0
