worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits
1,0,20261001,4,4,4,4,0,0,-1,played,53,db672509a1e12da9,3iar,0,0,0,0,0,0,1,2028060,1336267,83758,0,0,0,0
1,1,20261002,1,0,0,3,1,1,-1,played,45,3ae7d1947b4531a0,3iar,0,0,0,0,0,0,1,2619383,1476941,42569,0,0,0,0
1,2,20261003,4,4,4,4,0,0,-1,played,55,7cec9a5a20f8e5ca,3iar,0,0,0,0,0,0,1,2102619,1427162,127433,0,0,0,0
1,3,20261004,1,0,0,3,1,1,-1,played,57,7cbefd6381aa7bdb,3iar,0,0,0,0,0,0,1,2897057,1754454,107582,0,0,0,0
1,4,20261005,4,4,4,4,0,0,-1,played,37,0481d1fb89f92564,3iar,0,0,0,0,0,0,1,1531192,1083215,36740,0,0,0,0
1,5,20261006,1,0,0,3,1,1,-1,played,45,4c707f04c2096e2e,3iar,0,0,0,0,0,0,1,2445596,1582988,37801,0,0,0,0
1,6,20261007,4,4,4,4,0,1,-1,played,40,27ab60aab45ea4f6,3iar,0,0,0,0,0,0,1,1498686,1087282,49161,0,0,0,0
1,7,20261008,1,0,0,3,1,0,-1,played,46,0636b30e4be785c6,3iar,0,0,0,0,0,0,1,2612148,1715085,78856,0,0,0,0
1,8,20261009,4,4,4,4,0,0,-1,played,55,0d32f822131fe0c5,3iar,0,0,0,0,0,0,1,1984723,1221939,58431,0,0,0,0
1,9,20261010,1,0,0,3,1,1,-1,played,45,a92cf0091491fed6,3iar,0,0,0,0,0,0,1,2625354,1550669,70557,0,0,0,0
1,10,20261011,4,4,4,4,0,0,-1,played,49,efd4c330d7823936,3iar,0,0,0,0,0,0,1,1891734,1285541,76585,0,0,0,0
1,11,20261012,1,0,0,3,1,0,-1,played,44,354f62aaa227002f,3iar,0,0,0,0,0,0,1,2688798,1813806,103663,0,0,0,0
1,12,20261013,4,4,4,4,0,1,-1,played,48,8a87a4773061c965,3iar,0,0,0,0,0,0,1,1860650,1256115,58767,0,0,0,0
1,13,20261014,1,0,0,3,1,0,-1,played,46,42554ecefcbe7703,3iar,0,0,0,0,0,0,1,2794332,1521153,149379,0,0,0,0
1,14,20261015,4,4,4,4,0,0,-1,played,39,3d5927cc6f031efe,3iar,0,0,0,0,0,0,1,1621062,1042045,40810,0,0,0,0
1,15,20261016,1,0,0,3,1,2,-1,played,52,ac0070d79f735a56,draw,0,0,0,0,0,0,1,2929459,1620713,165199,0,0,0,0
1,16,20261017,4,4,4,4,0,0,-1,played,49,206606a200449641,3iar,0,0,0,0,0,0,1,1729974,1264845,55155,0,0,0,0
1,17,20261018,1,0,0,3,1,0,-1,played,46,41578fc99563295e,3iar,0,0,0,0,0,0,1,2613300,1552805,64990,0,0,0,0
1,18,20261019,4,4,4,4,0,0,-1,played,62,76ddd6db8196f6f8,count,0,0,0,0,0,0,1,2365042,1402336,149870,0,0,0,0
1,19,20261020,1,0,0,3,1,2,-1,played,57,7f2a2f014a28adb4,draw,0,0,0,0,0,0,1,3217906,1746994,427993,0,0,0,0
1,20,20261021,4,4,4,4,0,0,-1,played,45,47c5d2322354bbe9,3iar,0,0,0,0,0,0,1,1668615,1109511,107292,0,0,0,0
1,21,20261022,1,0,0,3,1,0,-1,played,50,c27b5ee8c71c6a5a,3iar,0,0,0,0,0,0,1,2704453,1583929,54669,0,0,0,0
1,22,20261023,4,4,4,4,0,0,-1,played,55,e48dd5c09d5306ed,3iar,0,0,0,0,0,0,1,2096201,1280186,75370,0,0,0,0
1,23,20261024,1,0,0,3,1,0,-1,played,52,44831dc4ef6f0cb6,3iar,0,0,0,0,0,0,1,2974180,1617569,91450,0,0,0,0
1,24,20261025,4,4,4,4,0,1,-1,played,44,9dd430f40de0a9c0,3iar,0,0,0,0,0,0,1,1623864,1214912,96825,0,0,0,0
2,0,21261001,4,4,4,4,0,2,-1,played,59,f9e1c5e373a771a1,draw,0,0,0,0,0,0,1,2611485,1449968,304898,0,0,0,0
2,1,21261002,1,0,0,3,1,1,-1,played,47,a64a95227b88d92c,3iar,0,0,0,0,0,0,1,2616926,1598141,55689,0,0,0,0
2,2,21261003,4,4,4,4,0,0,-1,played,49,ab951eeeac25cd22,3iar,0,0,0,0,0,0,1,1866595,1314498,132504,0,0,0,0
2,3,21261004,1,0,0,3,1,1,-1,played,49,aa9bacbc700781ac,3iar,0,0,0,0,0,0,1,2538985,1560546,61417,0,0,0,0
2,4,21261005,4,4,4,4,0,0,-1,played,47,6d50fbca34324ff7,count,0,0,0,0,0,0,1,1718849,1199886,109677,0,0,0,0
2,5,21261006,1,0,0,3,1,0,-1,played,46,a7a5cf6868ca5900,3iar,0,0,0,0,0,0,1,2445522,1590526,66129,0,0,0,0
2,6,21261007,4,4,4,4,0,1,-1,played,48,47ce743a9311f8d3,3iar,0,0,0,0,0,0,1,1764080,1140044,40361,0,0,0,0
2,7,21261008,1,0,0,3,1,0,-1,played,42,2c1466159eb4a0cc,3iar,0,0,0,0,0,0,1,2444052,1595257,46668,0,0,0,0
2,8,21261009,4,4,4,4,0,1,-1,played,56,f7f5e37183c2a1cf,3iar,0,0,0,0,0,0,1,2108085,1259205,179845,0,0,0,0
2,9,21261010,1,0,0,3,1,2,-1,played,54,f9e12af784eb0b41,draw,0,0,0,0,0,0,1,3241123,1660218,268219,0,0,0,0
2,10,21261011,4,4,4,4,0,0,-1,played,41,ade72e477cad06f5,3iar,0,0,0,0,0,0,1,1535880,987511,42606,0,0,0,0
2,11,21261012,1,0,0,3,1,1,-1,played,45,749b2be6117435f1,3iar,0,0,0,0,0,0,1,2348690,1535857,58365,0,0,0,0
2,12,21261013,4,4,4,4,0,1,-1,played,52,38d4a4ddb689ad8e,3iar,0,0,0,0,0,0,1,2061780,1422377,49340,0,0,0,0
2,13,21261014,1,0,0,3,1,0,-1,played,44,c8c97e675f6328ce,3iar,0,0,0,0,0,0,1,2613286,1498943,77512,0,0,0,0
2,14,21261015,4,4,4,4,0,2,-1,played,56,f327a6e066700dfd,draw,0,0,0,0,0,0,1,2431305,1239084,240686,0,0,0,0
2,15,21261016,1,0,0,3,1,0,-1,played,44,b56f7ed362f929d7,3iar,0,0,0,0,0,0,1,2611730,1726061,67736,0,0,0,0
2,16,21261017,4,4,4,4,0,0,-1,played,57,f4508eaae2475ec0,3iar,0,0,0,0,0,0,1,2127413,1343561,68213,0,0,0,0
2,17,21261018,1,0,0,3,1,0,-1,played,46,f49a420f944c6117,3iar,0,0,0,0,0,0,1,2708217,1619545,75771,0,0,0,0
2,18,21261019,4,4,4,4,0,0,-1,played,53,eea17a3519575c3d,count,0,0,0,0,0,0,1,2094905,1431577,128208,0,0,0,0
2,19,21261020,1,0,0,3,1,0,-1,played,50,250dd190aff464ac,3iar,0,0,0,0,0,0,1,2971304,1982457,138660,0,0,0,0
2,20,21261021,4,4,4,4,0,2,-1,played,57,7ae84061cf7df992,draw,0,0,0,0,0,0,1,2306362,1260260,140403,0,0,0,0
