worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits
1,0,20261001,4,4,4,4,0,0,-1,played,45,0de3c1c3448d4254,3iar,0,0,0,0,0,0,1,1629978,2620341,132758,0,0,0,0
1,1,20261002,1,0,0,3,1,0,-1,played,57,db9e2449d34805bc,count,0,0,0,0,0,0,1,2795452,3971728,294454,0,0,0,0
1,2,20261003,4,4,4,4,0,0,-1,played,49,56923620754e12a4,3iar,0,0,0,0,0,0,1,2029134,3361531,323418,0,0,0,0
1,3,20261004,1,0,0,3,1,1,-1,played,41,02cc954a34c3dd73,3iar,0,0,0,0,0,0,1,2534162,3802041,389740,0,0,0,0
1,4,20261005,4,4,4,4,0,0,-1,played,47,c1c13c6d09f58d75,3iar,0,0,0,0,0,0,1,1800793,3043785,385824,0,0,0,0
1,5,20261006,1,0,0,3,1,0,-1,played,52,7d002e1248e51e05,3iar,0,0,0,0,0,0,1,2530541,3783034,254519,0,0,0,0
1,6,20261007,4,4,4,4,0,0,-1,played,43,184825729f3f6be4,3iar,0,0,0,0,0,0,1,1710671,2758865,288505,0,0,0,0
1,7,20261008,1,0,0,3,1,0,-1,played,42,fe5ee66c5b93a0ed,3iar,0,0,0,0,0,0,1,2080484,3107264,161692,0,0,0,0
1,8,20261009,4,4,4,4,0,0,-1,played,49,f8a1dd2c8f291832,3iar,0,0,0,0,0,0,1,1891631,2951292,237114,0,0,0,0
1,9,20261010,1,0,0,3,1,0,-1,played,42,c2b0a026176cad78,3iar,0,0,0,0,0,0,1,2432860,3471939,312850,0,0,0,0
1,10,20261011,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1534535,2438540,132672,0,0,0,0
1,11,20261012,1,0,0,3,1,0,-1,played,40,653b7e659ff97a4a,3iar,0,0,0,0,0,0,1,2342679,3450173,187202,0,0,0,0
1,12,20261013,4,4,4,4,0,0,-1,played,39,8660045276f75b6f,3iar,0,0,0,0,0,0,1,1354957,2230576,167133,0,0,0,0
1,13,20261014,1,0,0,3,1,0,-1,played,62,e5ae0ab5441f944f,count,0,0,0,0,0,0,1,3282993,4711712,401361,0,0,0,0
1,14,20261015,4,4,4,4,0,0,-1,played,45,fce2c63cfa5aa0dc,3iar,0,0,0,0,0,0,1,1671548,2764733,247810,0,0,0,0
1,15,20261016,1,0,0,3,1,0,-1,played,44,3222b88feea05afc,3iar,0,0,0,0,0,0,1,2553468,3786273,341016,0,0,0,0
1,16,20261017,4,4,4,4,0,0,-1,played,45,5c88508a0cc149d5,3iar,0,0,0,0,0,0,1,1711058,2714004,307877,0,0,0,0
1,17,20261018,1,0,0,3,1,1,-1,played,39,85cf27506d930372,3iar,0,0,0,0,0,0,1,2507309,3658752,276006,0,0,0,0
1,18,20261019,4,4,4,4,0,1,-1,played,48,7ac753bd3b003822,3iar,0,0,0,0,0,0,1,1894553,3148901,210159,0,0,0,0
1,19,20261020,1,0,0,3,1,0,-1,played,53,98a3846ca1ea8402,count,0,0,0,0,0,0,1,2700731,3610681,545286,0,0,0,0
1,20,20261021,4,4,4,4,0,0,-1,played,51,731be2c0858d1ee5,3iar,0,0,0,0,0,0,1,2073596,3351901,315338,0,0,0,0
1,21,20261022,1,0,0,3,1,0,-1,played,50,9f4acf576e4734ba,3iar,0,0,0,0,0,0,1,2970502,4416215,400647,0,0,0,0
1,22,20261023,4,4,4,4,0,0,-1,played,45,b790cb2d73b83926,3iar,0,0,0,0,0,0,1,1710886,2784527,221007,0,0,0,0
1,23,20261024,1,0,0,3,1,2,-1,played,55,c5a0dddff318c9df,draw,0,0,0,0,0,0,1,3240605,4118503,1106961,0,0,0,0
