worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p0_cert_leaf_hits,p0_cert_internal_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits,p1_cert_leaf_hits,p1_cert_internal_hits
1,0,20261001,4,4,4,4,0,0,-1,played,53,4db547b4504c3ef0,3iar,0,0,0,0,0,0,1,1890581,4345008,369090,24402,6278,0,0,0,0,0,0
1,1,20261002,1,0,0,3,1,0,-1,played,42,44b29b5c8dda15ec,3iar,0,0,0,0,0,0,1,2417171,4337174,230124,73698,5640,0,0,0,0,0,0
1,2,20261003,4,4,4,4,0,0,-1,played,39,ec51ac1c92d72867,3iar,0,0,0,0,0,0,1,1621838,3704939,182647,17655,1309,0,0,0,0,0,0
1,3,20261004,1,0,0,3,1,0,-1,played,34,2c70b480d6d10bbe,3iar,0,0,0,0,0,0,1,2167569,3983241,166245,88376,6672,0,0,0,0,0,0
1,4,20261005,4,4,4,4,0,2,-1,played,59,9c30677ea37a0c8a,draw,0,0,0,0,0,0,1,2610342,5163664,1303289,29304,186410,0,0,0,0,0,0
1,5,20261006,1,0,0,3,1,0,-1,played,50,a58960c97ad4e4d1,3iar,0,0,0,0,0,0,1,2772862,5371768,344072,45470,10331,0,0,0,0,0,0
1,6,20261007,4,4,4,4,0,0,-1,played,47,a22847536723c793,3iar,0,0,0,0,0,0,1,1620496,3853653,279900,47412,2049,0,0,0,0,0,0
1,7,20261008,1,0,0,3,1,0,-1,played,53,164f28b2db8ea2aa,count,0,0,0,0,0,0,1,2880362,5240983,921573,47188,134229,0,0,0,0,0,0
1,8,20261009,4,4,4,4,0,0,-1,played,47,2ce65c68e012d648,3iar,0,0,0,0,0,0,1,1714015,3994277,273935,64198,6107,0,0,0,0,0,0
1,9,20261010,1,0,0,3,1,1,-1,played,47,7f3583e1f0ee9236,3iar,0,0,0,0,0,0,1,2700657,5375190,414360,35372,23141,0,0,0,0,0,0
1,10,20261011,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1490844,3394259,170061,82639,4978,0,0,0,0,0,0
1,11,20261012,1,0,0,3,1,2,-1,played,53,2251f1b612ea4a44,draw,0,0,0,0,0,0,1,3150231,5211472,1882827,144905,397358,0,0,0,0,0,0
1,12,20261013,4,4,4,4,0,0,-1,played,61,7417ea86f6d8ab4a,3iar,0,0,0,0,0,0,1,2161251,4564100,505315,43399,33889,0,0,0,0,0,0
1,13,20261014,1,0,0,3,1,0,-1,played,46,9ca68cd9c1ad775f,3iar,0,0,0,0,0,0,1,2441062,4793337,410475,60798,17293,0,0,0,0,0,0
1,14,20261015,4,4,4,4,0,0,-1,played,45,7d267e204955e007,3iar,0,0,0,0,0,0,1,1890810,4378419,215314,59813,6613,0,0,0,0,0,0
1,15,20261016,1,0,0,3,1,0,-1,played,42,05a8384a1b3d0329,3iar,0,0,0,0,0,0,1,2467010,4813777,345471,119784,6670,0,0,0,0,0,0
1,16,20261017,4,4,4,4,0,0,-1,played,45,5c88508a0cc149d5,3iar,0,0,0,0,0,0,1,1710720,3845508,439589,31156,1571,0,0,0,0,0,0
