worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p0_cert_leaf_hits,p0_cert_internal_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits,p1_cert_leaf_hits,p1_cert_internal_hits
1,0,20261001,4,4,4,4,0,1,-1,played,48,d51040374ef1f6e8,3iar,0,0,0,0,0,0,1,1892363,4409421,311500,20939,4718,0,0,0,0,0,0
1,1,20261002,1,0,0,3,1,1,-1,played,49,ff7eab67710c8f87,3iar,0,0,0,0,0,0,1,2794493,5331883,462802,13309,10540,0,0,0,0,0,0
1,2,20261003,4,4,4,4,0,0,-1,played,39,ec51ac1c92d72867,3iar,0,0,0,0,0,0,1,1621685,3879982,184772,16994,1276,0,0,0,0,0,0
1,3,20261004,1,0,0,3,1,0,-1,played,34,2c70b480d6d10bbe,3iar,0,0,0,0,0,0,1,2168901,4130101,168643,87134,6597,0,0,0,0,0,0
1,4,20261005,4,4,4,4,0,2,-1,played,59,9c30677ea37a0c8a,draw,0,0,0,0,0,0,1,2610345,4974103,1193851,26389,170340,0,0,0,0,0,0
1,5,20261006,1,0,0,3,1,0,-1,played,50,a58960c97ad4e4d1,3iar,0,0,0,0,0,0,1,2756043,5487256,346958,50347,11452,0,0,0,0,0,0
1,6,20261007,4,4,4,4,0,0,-1,played,47,a22847536723c793,3iar,0,0,0,0,0,0,1,1620560,3658236,253611,39876,1776,0,0,0,0,0,0
1,7,20261008,1,0,0,3,1,1,-1,played,53,4a6fb0e140c8f0b7,3iar,0,0,0,0,0,0,1,2970879,5481081,693957,38072,20960,0,0,0,0,0,0
1,8,20261009,4,4,4,4,0,0,-1,played,47,2ce65c68e012d648,3iar,0,0,0,0,0,0,1,1714418,3730401,246526,60048,5757,0,0,0,0,0,0
1,9,20261010,1,0,0,3,1,1,-1,played,47,7f3583e1f0ee9236,3iar,0,0,0,0,0,0,1,2701123,5271752,405171,34867,23137,0,0,0,0,0,0
1,10,20261011,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1503635,3431004,172067,84535,5024,0,0,0,0,0,0
1,11,20261012,1,0,0,3,1,2,-1,played,53,2251f1b612ea4a44,draw,0,0,0,0,0,0,1,3150308,4991200,1885064,143009,407774,0,0,0,0,0,0
1,12,20261013,4,4,4,4,0,0,-1,played,61,7417ea86f6d8ab4a,3iar,0,0,0,0,0,0,1,2161597,4622391,543854,44788,41054,0,0,0,0,0,0
1,13,20261014,1,0,0,3,1,0,-1,played,46,9ca68cd9c1ad775f,3iar,0,0,0,0,0,0,1,2440207,4765142,407883,61095,17309,0,0,0,0,0,0
1,14,20261015,4,4,4,4,0,0,-1,played,45,7d267e204955e007,3iar,0,0,0,0,0,0,1,1890612,4223266,212076,59914,6613,0,0,0,0,0,0
1,15,20261016,1,0,0,3,1,1,-1,played,33,824434712a66869c,3iar,0,0,0,0,0,0,1,2161444,3975495,179128,21103,32125,0,0,0,0,0,0
1,16,20261017,4,4,4,4,0,0,-1,played,45,5c88508a0cc149d5,3iar,0,0,0,0,0,0,1,1710679,3700687,439597,29133,1346,0,0,0,0,0,0
1,17,20261018,1,0,0,3,1,0,-1,played,32,931b426daf0fb9bf,3iar,0,0,0,0,0,0,1,2088445,3913446,155937,115071,7613,0,0,0,0,0,0
1,18,20261019,4,4,4,4,0,0,-1,played,55,77ef22512344e3da,count,0,0,0,0,0,0,1,1897607,4123527,430211,73245,13297,0,0,0,0,0,0
1,19,20261020,1,0,0,3,1,0,-1,played,46,8d7c8a47d9e1d9d9,3iar,0,0,0,0,0,0,1,2434366,4694465,184880,4357,3991,0,0,0,0,0,0
1,20,20261021,4,4,4,4,0,1,-1,played,46,f33b1487b5f244d5,3iar,0,0,0,0,0,0,1,1890385,4240620,205239,22967,5136,0,0,0,0,0,0
1,21,20261022,1,0,0,3,1,0,-1,played,40,21da7805293b807f,3iar,0,0,0,0,0,0,1,2412381,4571608,384158,118716,29984,0,0,0,0,0,0
1,22,20261023,4,4,4,4,0,0,-1,played,47,e129113bf93c6399,3iar,0,0,0,0,0,0,1,1801559,4036390,276589,12539,583,0,0,0,0,0,0
1,23,20261024,1,0,0,3,1,2,-1,played,54,94edb3423bf1fc72,draw,0,0,0,0,0,0,1,3025596,5067880,752203,66096,218690,0,0,0,0,0,0
1,24,20261025,4,4,4,4,0,0,-1,played,47,b4767ab09bddd33d,3iar,0,0,0,0,0,0,1,1960871,4750719,357837,85919,2808,0,0,0,0,0,0
2,0,21261001,4,4,4,4,0,1,-1,played,48,53a3c48f533856b6,3iar,0,0,0,0,0,0,1,1833702,4169660,382462,83107,11494,0,0,0,0,0,0
2,1,21261002,1,0,0,3,1,1,-1,played,43,9a1f9083e5c6fb6e,3iar,0,0,0,0,0,0,1,2611905,5096237,343777,5059,5851,0,0,0,0,0,0
2,2,21261003,4,4,4,4,0,1,-1,played,48,85a62501c4270408,3iar,0,0,0,0,0,0,1,1807513,3957295,293010,7603,5598,0,0,0,0,0,0
2,3,21261004,1,0,0,3,1,0,-1,played,42,5df4c1535635b4ac,3iar,0,0,0,0,0,0,1,2431197,4810842,218409,35153,4714,0,0,0,0,0,0
2,4,21261005,4,4,4,4,0,0,-1,played,51,d8f100a260be9fd8,3iar,0,0,0,0,0,0,1,1801178,4206533,229589,101498,34252,0,0,0,0,0,0
2,5,21261006,1,0,0,3,1,0,-1,played,44,7f63d93af167068e,3iar,0,0,0,0,0,0,1,2610651,4915362,666229,40989,27509,0,0,0,0,0,0
2,6,21261007,4,4,4,4,0,2,-1,played,48,d5b5acc7d8dac342,draw,0,0,0,0,0,0,1,2070301,3802644,564774,116867,412822,0,0,0,0,0,0
2,7,21261008,1,0,0,3,1,0,-1,played,50,c81e9bae84d39271,3iar,0,0,0,0,0,0,1,2568439,5075413,359731,73464,2111,0,0,0,0,0,0
2,8,21261009,4,4,4,4,0,0,-1,played,57,f99bfe089532b482,count,0,0,0,0,0,0,1,1905401,4114967,418460,46816,14064,0,0,0,0,0,0
2,9,21261010,1,0,0,3,1,0,-1,played,50,2fa246f7e11ab771,3iar,0,0,0,0,0,0,1,2791239,5552977,326823,67774,2144,0,0,0,0,0,0
2,10,21261011,4,4,4,4,0,0,-1,played,41,0a29cc03b813e1bf,3iar,0,0,0,0,0,0,1,1533168,3325445,264501,55104,18881,0,0,0,0,0,0
2,11,21261012,1,0,0,3,1,0,-1,played,40,c2025eb0939f4b30,3iar,0,0,0,0,0,0,1,2431605,4793425,207651,45514,6332,0,0,0,0,0,0
2,12,21261013,4,4,4,4,0,0,-1,played,45,c4844f89ffff7b6f,3iar,0,0,0,0,0,0,1,1710474,3843701,299725,39644,4268,0,0,0,0,0,0
2,13,21261014,1,0,0,3,1,0,-1,played,51,40a94695c2072cad,count,0,0,0,0,0,0,1,2701933,5228316,669980,13999,3161,0,0,0,0,0,0
2,14,21261015,4,4,4,4,0,0,-1,played,54,60963a832ab1f196,count,0,0,0,0,0,0,1,1826404,4009375,431311,19375,580,0,0,0,0,0,0
2,15,21261016,1,0,0,3,1,0,-1,played,42,c40866cc3ac3aa18,3iar,0,0,0,0,0,0,1,2434324,4634163,340822,24773,5453,0,0,0,0,0,0
2,16,21261017,4,4,4,4,0,0,-1,played,47,a315d635fcd59b0e,3iar,0,0,0,0,0,0,1,1716562,3783971,246657,46911,4864,0,0,0,0,0,0
2,17,21261018,1,0,0,3,1,0,-1,played,44,3a99ac33935c4341,3iar,0,0,0,0,0,0,1,2612010,5112074,470838,81963,6141,0,0,0,0,0,0
2,18,21261019,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1487540,3284006,177910,82999,5103,0,0,0,0,0,0
2,19,21261020,1,0,0,3,1,0,-1,played,46,f5c13424017e348b,3iar,0,0,0,0,0,0,1,2610489,5119955,396657,18252,5826,0,0,0,0,0,0
2,20,21261021,4,4,4,4,0,0,-1,played,56,ad888f3d4e7c7069,count,0,0,0,0,0,0,1,1892915,4224555,545861,26186,6465,0,0,0,0,0,0
2,21,21261022,1,0,0,3,1,0,-1,played,58,fae14e1f27669a6c,count,0,0,0,0,0,0,1,2970583,5805302,663692,63732,15737,0,0,0,0,0,0
2,22,21261023,4,4,4,4,0,1,-1,played,34,3261fa9a0a03cf20,3iar,0,0,0,0,0,0,1,1350916,2838411,137787,3250,19901,0,0,0,0,0,0
2,23,21261024,1,0,0,3,1,0,-1,played,38,d6339a5bd0491259,3iar,0,0,0,0,0,0,1,2431695,4634206,410882,172290,10905,0,0,0,0,0,0
2,24,21261025,4,4,4,4,0,0,-1,played,49,9e2a4f066f93db83,3iar,0,0,0,0,0,0,1,1800470,4466065,549043,13006,5893,0,0,0,0,0,0
3,0,22261001,4,4,4,4,0,0,-1,played,51,55301d1bec4fc7ec,3iar,0,0,0,0,0,0,1,1981520,4613712,313919,22910,2423,0,0,0,0,0,0
3,1,22261002,1,0,0,3,1,1,-1,played,41,051a16a1f3764059,3iar,0,0,0,0,0,0,1,2524058,4864270,369896,36009,13950,0,0,0,0,0,0
3,2,22261003,4,4,4,4,0,1,-1,played,40,62f29120f33b9e9e,3iar,0,0,0,0,0,0,1,1621547,3806951,245818,52685,4204,0,0,0,0,0,0
3,3,22261004,1,0,0,3,1,0,-1,played,54,d37b1069f9855b87,3iar,0,0,0,0,0,0,1,2792723,5169627,806611,273549,76175,0,0,0,0,0,0
3,4,22261005,4,4,4,4,0,0,-1,played,55,b3ad3d0c7e42c43a,3iar,0,0,0,0,0,0,1,2070640,4758530,312449,19877,6600,0,0,0,0,0,0
3,5,22261006,1,0,0,3,1,0,-1,played,42,7449df6ad416faca,3iar,0,0,0,0,0,0,1,2345384,4643002,183027,43213,2253,0,0,0,0,0,0
3,6,22261007,4,4,4,4,0,0,-1,played,57,ebb7c1622c14a1f0,3iar,0,0,0,0,0,0,1,2074386,4777369,382579,148027,15124,0,0,0,0,0,0
3,7,22261008,1,0,0,3,1,0,-1,played,40,d7821d3c2be1a01f,3iar,0,0,0,0,0,0,1,2341129,4531931,186376,26045,2267,0,0,0,0,0,0
3,8,22261009,4,4,4,4,0,0,-1,played,39,ec51ac1c92d72867,3iar,0,0,0,0,0,0,1,1621212,3700440,184147,17738,1330,0,0,0,0,0,0
3,9,22261010,1,0,0,3,1,0,-1,played,42,4a7600b989d95baf,3iar,0,0,0,0,0,0,1,2430862,4696362,217645,74041,4661,0,0,0,0,0,0
3,10,22261011,4,4,4,4,0,0,-1,played,53,a22e1038fa430dd9,3iar,0,0,0,0,0,0,1,1443080,3300187,104144,7218,295,0,0,0,0,0,0
3,11,22261012,1,0,0,3,1,0,-1,played,52,24eac2a89d6b03a2,3iar,0,0,0,0,0,0,1,2704942,5280777,323078,46829,4238,0,0,0,0,0,0
3,12,22261013,4,4,4,4,0,1,-1,played,44,789fb18f848d0ee4,3iar,0,0,0,0,0,0,1,1800544,3938713,533706,2159,32981,0,0,0,0,0,0
3,13,22261014,1,0,0,3,1,0,-1,played,54,7dcf62e3761c80ec,3iar,0,0,0,0,0,0,1,2734224,5364113,356182,66048,2266,0,0,0,0,0,0
3,14,22261015,4,4,4,4,0,0,-1,played,49,3f5024e10213c411,3iar,0,0,0,0,0,0,1,1980364,4428175,313859,63760,2200,0,0,0,0,0,0
3,15,22261016,1,0,0,3,1,1,-1,played,45,3fc9b69e4112319d,3iar,0,0,0,0,0,0,1,2700524,5258869,367398,38478,16041,0,0,0,0,0,0
3,16,22261017,4,4,4,4,0,0,-1,played,35,d9bda0865274a552,3iar,0,0,0,0,0,0,1,1440230,3230997,197930,56838,4231,0,0,0,0,0,0
3,17,22261018,1,0,0,3,1,0,-1,played,40,fbba67201ca2893a,3iar,0,0,0,0,0,0,1,2430762,4695375,226213,9910,862,0,0,0,0,0,0
3,18,22261019,4,4,4,4,0,0,-1,played,49,9dacf864744d62bd,3iar,0,0,0,0,0,0,1,1891921,4211691,196891,70042,1904,0,0,0,0,0,0
3,19,22261020,1,0,0,3,1,0,-1,played,58,09c1560847e15c49,3iar,0,0,0,0,0,0,1,3060740,5803797,1080995,103660,98658,0,0,0,0,0,0
3,20,22261021,4,4,4,4,0,0,-1,played,45,7045e3eba641ec22,3iar,0,0,0,0,0,0,1,1623659,3791003,256636,69765,7583,0,0,0,0,0,0
3,21,22261022,1,0,0,3,1,0,-1,played,46,e1493aecda7684d9,3iar,0,0,0,0,0,0,1,2526511,4885148,186759,24706,326,0,0,0,0,0,0
3,22,22261023,4,4,4,4,0,1,-1,played,46,8985d7e4a237a5f5,3iar,0,0,0,0,0,0,1,1799550,4105416,513190,35992,10835,0,0,0,0,0,0
3,23,22261024,1,0,0,3,1,0,-1,played,50,c337fff07bd7d2b2,count,0,0,0,0,0,0,1,2539359,4669802,549586,240397,27823,0,0,0,0,0,0
3,24,22261025,4,4,4,4,0,0,-1,played,39,c57cf5739c237b83,3iar,0,0,0,0,0,0,1,1621373,3698004,235270,116140,9135,0,0,0,0,0,0
4,0,23261001,4,4,4,4,0,2,-1,played,47,596a2e3ee3d228e6,draw,0,0,0,0,0,0,1,2070328,4107046,1100870,25974,115508,0,0,0,0,0,0
4,1,23261002,1,0,0,3,1,1,-1,played,47,f7d9db92d453b040,3iar,0,0,0,0,0,0,1,2700670,5266800,443034,11848,16595,0,0,0,0,0,0
4,2,23261003,4,4,4,4,0,2,-1,played,61,bca53e938885372c,draw,0,0,0,0,0,0,1,2700407,4792448,1278177,82334,300007,0,0,0,0,0,0
4,3,23261004,1,0,0,3,1,0,-1,played,48,4615704bcee3a12a,3iar,0,0,0,0,0,0,1,2791072,5407788,390018,70898,5809,0,0,0,0,0,0
4,4,23261005,4,4,4,4,0,0,-1,played,51,487f3972d90bd15b,3iar,0,0,0,0,0,0,1,1890594,3970936,300068,48522,11328,0,0,0,0,0,0
4,5,23261006,1,0,0,3,1,0,-1,played,40,3f7ee480de227868,3iar,0,0,0,0,0,0,1,2344807,4632695,204276,7518,562,0,0,0,0,0,0
4,6,23261007,4,4,4,4,0,0,-1,played,60,19624098e794ef70,count,0,0,0,0,0,0,1,2231689,4678959,508479,38846,12377,0,0,0,0,0,0
4,7,23261008,1,0,0,3,1,0,-1,played,42,2cc61f3b3d7b577b,3iar,0,0,0,0,0,0,1,2520488,4929717,227092,40471,3746,0,0,0,0,0,0
4,8,23261009,4,4,4,4,0,1,-1,played,44,f2eae47e586d7b76,3iar,0,0,0,0,0,0,1,1711304,3536277,407508,83070,3849,0,0,0,0,0,0
4,9,23261010,1,0,0,3,1,1,-1,played,39,35c099cb4f98b40a,3iar,0,0,0,0,0,0,1,2362602,4634001,223194,41482,1897,0,0,0,0,0,0
4,10,23261011,4,4,4,4,0,0,-1,played,47,0a3e79d9bd390305,3iar,0,0,0,0,0,0,1,1745576,3837411,320933,33616,2482,0,0,0,0,0,0
4,11,23261012,1,0,0,3,1,0,-1,played,44,8a51274a350dd86d,3iar,0,0,0,0,0,0,1,2616639,5134646,325735,93778,5490,0,0,0,0,0,0
4,12,23261013,4,4,4,4,0,1,-1,played,50,8bbc25518bd4e260,3iar,0,0,0,0,0,0,1,2058819,4516815,326543,31515,10292,0,0,0,0,0,0
4,13,23261014,1,0,0,3,1,0,-1,played,52,3189e26cb0d55368,3iar,0,0,0,0,0,0,1,2611148,5175854,287113,190201,15329,0,0,0,0,0,0
4,14,23261015,4,4,4,4,0,0,-1,played,45,e3866e83847fdb5f,3iar,0,0,0,0,0,0,1,1710439,3794656,230783,38229,3322,0,0,0,0,0,0
4,15,23261016,1,0,0,3,1,0,-1,played,34,c6cc8809c4480bb8,3iar,0,0,0,0,0,0,1,2162193,4127429,175652,34558,2254,0,0,0,0,0,0
4,16,23261017,4,4,4,4,0,0,-1,played,43,6f518e5a71f832a1,3iar,0,0,0,0,0,0,1,1443535,3261248,115759,19528,1351,0,0,0,0,0,0
4,17,23261018,1,0,0,3,1,0,-1,played,42,247e004e8d84bb52,3iar,0,0,0,0,0,0,1,2523249,4758552,486961,55662,24710,0,0,0,0,0,0
4,18,23261019,4,4,4,4,0,0,-1,played,61,00c36bbece9fe189,3iar,0,0,0,0,0,0,1,2254991,4414159,324122,49057,3911,0,0,0,0,0,0
4,19,23261020,1,0,0,3,1,1,-1,played,49,7838ea1807650434,3iar,0,0,0,0,0,0,1,2777184,5583851,443263,29829,13084,0,0,0,0,0,0
4,20,23261021,4,4,4,4,0,1,-1,played,50,6c3ca15e84308349,3iar,0,0,0,0,0,0,1,1926395,4292982,435005,100604,35345,0,0,0,0,0,0
4,21,23261022,1,0,0,3,1,0,-1,played,50,fead9d7dc2dd0d18,count,0,0,0,0,0,0,1,2701077,5375960,483952,76196,15313,0,0,0,0,0,0
4,22,23261023,4,4,4,4,0,0,-1,played,49,bca34681baf64c7e,3iar,0,0,0,0,0,0,1,1800427,3982258,314165,48199,6520,0,0,0,0,0,0
4,23,23261024,1,0,0,3,1,0,-1,played,46,5e3882231ab4d67a,3iar,0,0,0,0,0,0,1,2528556,5164933,421867,33682,5592,0,0,0,0,0,0
4,24,23261025,4,4,4,4,0,0,-1,played,51,763d49c9a9f7719e,3iar,0,0,0,0,0,0,1,1981036,5031227,590717,143795,8210,0,0,0,0,0,0
