worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p0_cert_leaf_hits,p0_cert_internal_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits,p1_cert_leaf_hits,p1_cert_internal_hits
1,0,20261001,4,4,4,4,0,0,-1,played,53,4db547b4504c3ef0,3iar,0,0,0,0,0,0,1,1890465,4237854,351842,22342,5868,0,0,0,0,0,0
1,1,20261002,1,0,0,3,1,0,-1,played,42,44b29b5c8dda15ec,3iar,0,0,0,0,0,0,1,2419772,4635873,227806,71168,5481,0,0,0,0,0,0
1,2,20261003,4,4,4,4,0,0,-1,played,39,ec51ac1c92d72867,3iar,0,0,0,0,0,0,1,1621321,3605731,176111,17459,1308,0,0,0,0,0,0
1,3,20261004,1,0,0,3,1,0,-1,played,34,2c70b480d6d10bbe,3iar,0,0,0,0,0,0,1,2168094,3925453,167471,88554,6691,0,0,0,0,0,0
1,4,20261005,4,4,4,4,0,2,-1,played,59,9c30677ea37a0c8a,draw,0,0,0,0,0,0,1,2610330,4802619,1152040,30499,167301,0,0,0,0,0,0
1,5,20261006,1,0,0,3,1,0,-1,played,50,a58960c97ad4e4d1,3iar,0,0,0,0,0,0,1,2780085,5296074,334626,44670,10135,0,0,0,0,0,0
1,6,20261007,4,4,4,4,0,0,-1,played,47,a22847536723c793,3iar,0,0,0,0,0,0,1,1620583,3638106,254185,41918,1720,0,0,0,0,0,0
1,7,20261008,1,0,0,3,1,0,-1,played,54,a17e8fc7ce4bb68a,3iar,0,0,0,0,0,0,1,2912521,5443945,544349,24763,3174,0,0,0,0,0,0
1,8,20261009,4,4,4,4,0,0,-1,played,47,2ce65c68e012d648,3iar,0,0,0,0,0,0,1,1714266,3657650,226121,57423,5633,0,0,0,0,0,0
1,9,20261010,1,0,0,3,1,1,-1,played,47,7f3583e1f0ee9236,3iar,0,0,0,0,0,0,1,2700873,5040830,354281,30941,19200,0,0,0,0,0,0
1,10,20261011,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1503695,3391041,162020,80184,4948,0,0,0,0,0,0
1,11,20261012,1,0,0,3,1,2,-1,played,53,2251f1b612ea4a44,draw,0,0,0,0,0,0,1,3150318,4833690,1638575,126986,394439,0,0,0,0,0,0
1,12,20261013,4,4,4,4,0,0,-1,played,61,7417ea86f6d8ab4a,3iar,0,0,0,0,0,0,1,2161353,4368259,478593,41968,37808,0,0,0,0,0,0
1,13,20261014,1,0,0,3,1,0,-1,played,46,9ca68cd9c1ad775f,3iar,0,0,0,0,0,0,1,2441973,4587221,376113,58216,16901,0,0,0,0,0,0
1,14,20261015,4,4,4,4,0,0,-1,played,47,25876b4c202d1e3c,3iar,0,0,0,0,0,0,1,1780954,3715675,376520,247728,18331,0,0,0,0,0,0
1,15,20261016,1,0,0,3,1,1,-1,played,33,824434712a66869c,3iar,0,0,0,0,0,0,1,2161778,3947835,164157,19730,31590,0,0,0,0,0,0
1,16,20261017,4,4,4,4,0,0,-1,played,45,5c88508a0cc149d5,3iar,0,0,0,0,0,0,1,1710973,3633314,389211,30284,1281,0,0,0,0,0,0
1,17,20261018,1,0,0,3,1,0,-1,played,32,931b426daf0fb9bf,3iar,0,0,0,0,0,0,1,2090947,3898075,150936,108921,7410,0,0,0,0,0,0
1,18,20261019,4,4,4,4,0,0,-1,played,43,8d33cda31ad4427f,3iar,0,0,0,0,0,0,1,1530425,3215795,157221,54811,901,0,0,0,0,0,0
1,19,20261020,1,0,0,3,1,0,-1,played,54,a6348563a7e0241a,count,0,0,0,0,0,0,1,2791306,4835303,1085474,39244,119496,0,0,0,0,0,0
1,20,20261021,4,4,4,4,0,1,-1,played,42,30839e63849e0a9d,3iar,0,0,0,0,0,0,1,1661851,3487671,213491,3749,651,0,0,0,0,0,0
1,21,20261022,1,0,0,3,1,0,-1,played,40,21da7805293b807f,3iar,0,0,0,0,0,0,1,2394122,4403641,399875,123231,30983,0,0,0,0,0,0
1,22,20261023,4,4,4,4,0,0,-1,played,47,e129113bf93c6399,3iar,0,0,0,0,0,0,1,1801914,3970536,263977,11926,576,0,0,0,0,0,0
1,23,20261024,1,0,0,3,1,2,-1,played,54,94edb3423bf1fc72,draw,0,0,0,0,0,0,1,2996541,4899057,671078,58908,225601,0,0,0,0,0,0
1,24,20261025,4,4,4,4,0,0,-1,played,47,b4767ab09bddd33d,3iar,0,0,0,0,0,0,1,1967966,4253526,325057,81680,2619,0,0,0,0,0,0
2,0,21261001,4,4,4,4,0,1,-1,played,48,53a3c48f533856b6,3iar,0,0,0,0,0,0,1,1833469,3909315,367678,81580,11154,0,0,0,0,0,0
2,1,21261002,1,0,0,3,1,1,-1,played,43,9a1f9083e5c6fb6e,3iar,0,0,0,0,0,0,1,2611990,5003361,325008,4986,4940,0,0,0,0,0,0
2,2,21261003,4,4,4,4,0,1,-1,played,48,85a62501c4270408,3iar,0,0,0,0,0,0,1,1804518,4008340,284408,7001,5324,0,0,0,0,0,0
2,3,21261004,1,0,0,3,1,0,-1,played,46,96870c7680318295,3iar,0,0,0,0,0,0,1,2523050,4783735,191781,5705,536,0,0,0,0,0,0
2,4,21261005,4,4,4,4,0,1,-1,played,44,803aefaed365f25a,3iar,0,0,0,0,0,0,1,1808819,3905976,182475,56497,12350,0,0,0,0,0,0
2,5,21261006,1,0,0,3,1,0,-1,played,44,7f63d93af167068e,3iar,0,0,0,0,0,0,1,2610907,4900038,619679,40034,26701,0,0,0,0,0,0
2,6,21261007,4,4,4,4,0,2,-1,played,48,d5b5acc7d8dac342,draw,0,0,0,0,0,0,1,2070309,3621909,511060,105166,365298,0,0,0,0,0,0
2,7,21261008,1,0,0,3,1,0,-1,played,50,c81e9bae84d39271,3iar,0,0,0,0,0,0,1,2564691,4887217,328018,68941,1977,0,0,0,0,0,0
2,8,21261009,4,4,4,4,0,0,-1,played,45,4d145a27a171d8f6,3iar,0,0,0,0,0,0,1,1800472,3657839,476974,122737,6757,0,0,0,0,0,0
2,9,21261010,1,0,0,3,1,0,-1,played,42,8b9c0572ccb9d37b,3iar,0,0,0,0,0,0,1,2356225,4263656,309816,81737,5037,0,0,0,0,0,0
2,10,21261011,4,4,4,4,0,2,-1,played,57,07ac8859808a3215,draw,0,0,0,0,0,0,1,2520410,4213742,1799762,46229,121330,0,0,0,0,0,0
2,11,21261012,1,0,0,3,1,0,-1,played,40,c2025eb0939f4b30,3iar,0,0,0,0,0,0,1,2431596,4620016,181453,35914,5007,0,0,0,0,0,0
2,12,21261013,4,4,4,4,0,0,-1,played,45,c4844f89ffff7b6f,3iar,0,0,0,0,0,0,1,1710567,3483997,242154,34361,3431,0,0,0,0,0,0
2,13,21261014,1,0,0,3,1,0,-1,played,36,b580675e6df68ae8,3iar,0,0,0,0,0,0,1,2161738,3989024,180050,32944,4045,0,0,0,0,0,0
2,14,21261015,4,4,4,4,0,0,-1,played,51,c08eade446a24f76,3iar,0,0,0,0,0,0,1,1980389,4066456,281858,64520,2830,0,0,0,0,0,0
2,15,21261016,1,0,0,3,1,0,-1,played,42,c40866cc3ac3aa18,3iar,0,0,0,0,0,0,1,2433855,4566812,330557,24350,5279,0,0,0,0,0,0
2,16,21261017,4,4,4,4,0,0,-1,played,53,aa6c8d5619980c8e,3iar,0,0,0,0,0,0,1,2079077,4328255,263832,33495,4367,0,0,0,0,0,0
2,17,21261018,1,0,0,3,1,0,-1,played,44,3a99ac33935c4341,3iar,0,0,0,0,0,0,1,2612077,4641221,436340,81023,6258,0,0,0,0,0,0
2,18,21261019,4,4,4,4,0,0,-1,played,39,6830d99d020b948a,3iar,0,0,0,0,0,0,1,1492484,3101134,156167,81941,5015,0,0,0,0,0,0
2,19,21261020,1,0,0,3,1,0,-1,played,47,a1dccbe066a12d26,count,0,0,0,0,0,0,1,2605366,4907042,286579,21340,5166,0,0,0,0,0,0
2,20,21261021,4,4,4,4,0,0,-1,played,41,46a871172be9df4a,3iar,0,0,0,0,0,0,1,1621001,3449380,182930,65524,2102,0,0,0,0,0,0
2,21,21261022,1,0,0,3,1,0,-1,played,58,fae14e1f27669a6c,count,0,0,0,0,0,0,1,2882107,5622148,461346,45983,9152,0,0,0,0,0,0
2,22,21261023,4,4,4,4,0,1,-1,played,34,3261fa9a0a03cf20,3iar,0,0,0,0,0,0,1,1350888,2794357,130497,2769,19800,0,0,0,0,0,0
2,23,21261024,1,0,0,3,1,1,-1,played,43,dab484614ee0c132,3iar,0,0,0,0,0,0,1,2611016,5105139,307063,11840,5232,0,0,0,0,0,0
2,24,21261025,4,4,4,4,0,0,-1,played,47,7d4eb2f9b18fb2b3,3iar,0,0,0,0,0,0,1,1710490,3984772,198496,23597,1551,0,0,0,0,0,0
3,0,22261001,4,4,4,4,0,0,-1,played,51,55301d1bec4fc7ec,3iar,0,0,0,0,0,0,1,1981614,4451912,293052,20557,2221,0,0,0,0,0,0
3,1,22261002,1,0,0,3,1,0,-1,played,51,5d22c3b9bf99f3e7,count,0,0,0,0,0,0,1,2773902,5352378,424550,28010,9747,0,0,0,0,0,0
3,2,22261003,4,4,4,4,0,1,-1,played,40,62f29120f33b9e9e,3iar,0,0,0,0,0,0,1,1621674,3634243,233211,50232,4026,0,0,0,0,0,0
3,3,22261004,1,0,0,3,1,0,-1,played,38,23dcbc930ba858fc,3iar,0,0,0,0,0,0,1,2355288,4451355,198660,42693,1421,0,0,0,0,0,0
3,4,22261005,4,4,4,4,0,0,-1,played,39,ec51ac1c92d72867,3iar,0,0,0,0,0,0,1,1621134,3599965,176289,17116,1291,0,0,0,0,0,0
3,5,22261006,1,0,0,3,1,0,-1,played,42,7449df6ad416faca,3iar,0,0,0,0,0,0,1,2346143,4354590,170771,42712,2253,0,0,0,0,0,0
3,6,22261007,4,4,4,4,0,0,-1,played,57,ebb7c1622c14a1f0,3iar,0,0,0,0,0,0,1,2074359,4589322,364481,145981,14848,0,0,0,0,0,0
3,7,22261008,1,0,0,3,1,0,-1,played,40,d7821d3c2be1a01f,3iar,0,0,0,0,0,0,1,2341225,4437694,174608,25104,2122,0,0,0,0,0,0
3,8,22261009,4,4,4,4,0,0,-1,played,51,186ee59abb34abb4,3iar,0,0,0,0,0,0,1,2029393,4280288,301552,53557,2766,0,0,0,0,0,0
3,9,22261010,1,0,0,3,1,0,-1,played,42,4a7600b989d95baf,3iar,0,0,0,0,0,0,1,2431321,4472748,206396,73133,4578,0,0,0,0,0,0
3,10,22261011,4,4,4,4,0,0,-1,played,53,3bcf93480749021f,3iar,0,0,0,0,0,0,1,2077515,4377570,318203,68071,3487,0,0,0,0,0,0
3,11,22261012,1,0,0,3,1,1,-1,played,45,90fa5041815546a9,count,0,0,0,0,0,0,1,2430909,4708551,401874,27713,6647,0,0,0,0,0,0
3,12,22261013,4,4,4,4,0,0,-1,played,57,747c093050e9e36e,3iar,0,0,0,0,0,0,1,2074219,4310048,345881,136844,14222,0,0,0,0,0,0
3,13,22261014,1,0,0,3,1,0,-1,played,54,7dcf62e3761c80ec,3iar,0,0,0,0,0,0,1,2730946,5265048,345374,65403,2218,0,0,0,0,0,0
3,14,22261015,4,4,4,4,0,0,-1,played,46,9e51d8fb2560d909,count,0,0,0,0,0,0,1,1620420,3491918,211750,23170,757,0,0,0,0,0,0
3,15,22261016,1,0,0,3,1,1,-1,played,39,caf5a42e0c3cad3e,3iar,0,0,0,0,0,0,1,2437431,4590148,262667,31415,12148,0,0,0,0,0,0
3,16,22261017,4,4,4,4,0,0,-1,played,49,5dd660a4849ae86f,3iar,0,0,0,0,0,0,1,1810000,3735343,327529,43262,8815,0,0,0,0,0,0
3,17,22261018,1,0,0,3,1,0,-1,played,40,fbba67201ca2893a,3iar,0,0,0,0,0,0,1,2430665,4564266,222211,10153,875,0,0,0,0,0,0
3,18,22261019,4,4,4,4,0,0,-1,played,49,9dacf864744d62bd,3iar,0,0,0,0,0,0,1,1891630,4194637,196352,72467,2027,0,0,0,0,0,0
3,19,22261020,1,0,0,3,1,0,-1,played,55,423f6ccf2970c9f3,count,0,0,0,0,0,0,1,2976909,5515248,687295,97212,11797,0,0,0,0,0,0
3,20,22261021,4,4,4,4,0,0,-1,played,45,7045e3eba641ec22,3iar,0,0,0,0,0,0,1,1623676,3495238,232839,64401,6982,0,0,0,0,0,0
3,21,22261022,1,0,0,3,1,0,-1,played,48,0bca693a3a8492fa,3iar,0,0,0,0,0,0,1,2707834,4981479,324693,85995,5943,0,0,0,0,0,0
3,22,22261023,4,4,4,4,0,0,-1,played,47,e3edb545bad29b44,3iar,0,0,0,0,0,0,1,1800699,3924367,447638,13957,11285,0,0,0,0,0,0
3,23,22261024,1,0,0,3,1,0,-1,played,50,c337fff07bd7d2b2,count,0,0,0,0,0,0,1,2541643,4516863,520473,231732,26635,0,0,0,0,0,0
3,24,22261025,4,4,4,4,0,0,-1,played,39,c57cf5739c237b83,3iar,0,0,0,0,0,0,1,1621687,3584529,209252,100888,7652,0,0,0,0,0,0
4,0,23261001,4,4,4,4,0,2,-1,played,47,596a2e3ee3d228e6,draw,0,0,0,0,0,0,1,2070429,3927618,1043480,25122,110179,0,0,0,0,0,0
4,1,23261002,1,0,0,3,1,1,-1,played,47,f7d9db92d453b040,3iar,0,0,0,0,0,0,1,2701353,5011805,424335,11173,14650,0,0,0,0,0,0
4,2,23261003,4,4,4,4,0,2,-1,played,61,bca53e938885372c,draw,0,0,0,0,0,0,1,2700489,4352918,1202256,67313,295762,0,0,0,0,0,0
4,3,23261004,1,0,0,3,1,0,-1,played,48,4615704bcee3a12a,3iar,0,0,0,0,0,0,1,2791010,5319437,375970,69858,6086,0,0,0,0,0,0
4,4,23261005,4,4,4,4,0,0,-1,played,51,487f3972d90bd15b,3iar,0,0,0,0,0,0,1,1890691,3770730,265339,41063,9881,0,0,0,0,0,0
4,5,23261006,1,0,0,3,1,0,-1,played,40,3f7ee480de227868,3iar,0,0,0,0,0,0,1,2345691,4578691,190442,7226,532,0,0,0,0,0,0
4,6,23261007,4,4,4,4,0,0,-1,played,60,19624098e794ef70,count,0,0,0,0,0,0,1,2173128,4622416,395224,32845,10247,0,0,0,0,0,0
4,7,23261008,1,0,0,3,1,0,-1,played,44,56f7c8e0c8f7c76e,3iar,0,0,0,0,0,0,1,2520428,4858716,286739,32457,4961,0,0,0,0,0,0
4,8,23261009,4,4,4,4,0,0,-1,played,43,292df1ec60287fc3,3iar,0,0,0,0,0,0,1,1635990,3402549,178551,64057,7143,0,0,0,0,0,0
4,9,23261010,1,0,0,3,1,0,-1,played,57,f9187be149e55165,count,0,0,0,0,0,0,1,2896228,5410029,641286,45993,30896,0,0,0,0,0,0
4,10,23261011,4,4,4,4,0,0,-1,played,49,ef48a7b29a09a832,3iar,0,0,0,0,0,0,1,2070619,4199363,324254,92767,4734,0,0,0,0,0,0
4,11,23261012,1,0,0,3,1,0,-1,played,36,ce3aef0e3d152f5b,3iar,0,0,0,0,0,0,1,2257722,4287270,186683,80758,3017,0,0,0,0,0,0
4,12,23261013,4,4,4,4,0,1,-1,played,50,8bbc25518bd4e260,3iar,0,0,0,0,0,0,1,2057472,4169974,296843,30296,10077,0,0,0,0,0,0
4,13,23261014,1,0,0,3,1,0,-1,played,52,3189e26cb0d55368,3iar,0,0,0,0,0,0,1,2611139,4896633,286970,196610,15921,0,0,0,0,0,0
4,14,23261015,4,4,4,4,0,0,-1,played,45,e3866e83847fdb5f,3iar,0,0,0,0,0,0,1,1710471,3600869,221909,45306,3801,0,0,0,0,0,0
4,15,23261016,1,0,0,3,1,0,-1,played,48,9ab5d29b2b06adb1,3iar,0,0,0,0,0,0,1,2525161,4746377,325466,43607,5974,0,0,0,0,0,0
4,16,23261017,4,4,4,4,0,0,-1,played,57,ff9a471d02272ac7,3iar,0,0,0,0,0,0,1,2073862,4413432,327339,121977,12669,0,0,0,0,0,0
4,17,23261018,1,0,0,3,1,0,-1,played,49,ad70388c102ecd09,count,0,0,0,0,0,0,1,2620657,4966131,420964,16413,4389,0,0,0,0,0,0
4,18,23261019,4,4,4,4,0,0,-1,played,61,00c36bbece9fe189,3iar,0,0,0,0,0,0,1,2255907,4428813,294220,43546,3555,0,0,0,0,0,0
4,19,23261020,1,0,0,3,1,1,-1,played,49,7838ea1807650434,3iar,0,0,0,0,0,0,1,2791874,5147506,402964,28963,12901,0,0,0,0,0,0
4,20,23261021,4,4,4,4,0,1,-1,played,50,6c3ca15e84308349,3iar,0,0,0,0,0,0,1,1931722,4117253,407919,93555,33330,0,0,0,0,0,0
4,21,23261022,1,0,0,3,1,0,-1,played,38,f3db67d73fd227e4,3iar,0,0,0,0,0,0,1,2251097,4117768,125403,6198,188,0,0,0,0,0,0
4,22,23261023,4,4,4,4,0,0,-1,played,49,bca34681baf64c7e,3iar,0,0,0,0,0,0,1,1800422,4000979,311498,48578,6443,0,0,0,0,0,0
