game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,4,4,4,4,0,0,-1,played,49,16315c261991535f,3iar,0,0,0,0,0,0
1,20261002,4,4,4,4,0,0,-1,played,37,e900d99396e7c8b3,3iar,0,0,0,0,0,0
2,20261003,4,4,4,4,0,0,-1,played,39,65ce3e36c55d80cc,3iar,0,0,0,0,0,0
3,20261004,4,4,4,4,0,0,-1,played,49,786d83510eb0196b,3iar,1,1,1,0,1,0
4,20261005,4,4,4,4,0,0,-1,played,53,6d3d769a1cb6d117,3iar,0,0,0,0,0,0
5,20261006,4,4,4,4,0,0,-1,played,37,aa1d7aea232ccdcf,3iar,0,0,0,0,0,0
6,20261007,4,4,4,4,0,0,-1,played,53,c572b3a56cde1193,3iar,0,0,0,0,0,0
7,20261008,4,4,4,4,0,1,-1,played,50,3dda833dfa929d6d,3iar,0,0,0,0,0,0
8,20261009,4,4,4,4,0,0,-1,played,39,412b3cb9472609a7,3iar,0,0,0,0,0,0
9,20261010,4,4,4,4,0,0,-1,played,51,ef945787a80cf69d,count,1,0,0,1,0,0
10,20261011,4,4,4,4,0,0,-1,played,39,d04f89fef7b28665,3iar,0,0,0,0,0,0
11,20261012,4,4,4,4,0,0,-1,played,51,9b81c201e2618b14,3iar,0,0,0,0,0,0
12,20261013,4,4,4,4,0,1,-1,played,44,2de921787f83087e,3iar,0,0,0,0,0,0
13,20261014,4,4,4,4,0,2,-1,played,57,e17926ea537a6f6a,draw,0,0,0,0,0,0
14,20261015,4,4,4,4,0,0,-1,played,49,dc7400d4299520c6,3iar,0,0,0,0,0,0
15,20261016,4,4,4,4,0,0,-1,played,45,3ab74c4f09685f56,3iar,0,0,0,0,0,0
16,20261017,4,4,4,4,0,0,-1,played,43,8eb8ef9704acf7a7,3iar,0,0,0,0,0,0
17,20261018,4,4,4,4,0,0,-1,played,49,46d8b0f0ec754f1b,3iar,0,0,0,0,0,0
18,20261019,4,4,4,4,0,1,-1,played,42,a26c5c43065f8bb2,3iar,0,0,0,0,0,0
19,20261020,4,4,4,4,0,0,-1,played,57,59ab43abb74f3ab7,count,0,0,0,0,0,0
20,20261021,4,4,4,4,0,0,-1,played,43,ea000a2ab7e1ddad,3iar,0,0,0,0,0,0
21,20261022,4,4,4,4,0,0,-1,played,51,d7db1c4438ff58e8,3iar,0,0,0,0,0,0
22,20261023,4,4,4,4,0,0,-1,played,49,03fa3ac3cb16f6aa,3iar,0,0,0,0,0,0
23,20261024,4,4,4,4,0,0,-1,played,45,44156f80337af11d,3iar,1,0,1,0,0,0
24,20261025,4,4,4,4,0,0,-1,played,43,5d14c70204e42da8,3iar,0,0,0,0,0,0
25,20261026,4,4,4,4,0,0,-1,played,48,dbb5f2f0411b170f,count,0,0,0,0,0,0
26,20261027,4,4,4,4,0,0,-1,played,51,7b3e1fb530e24294,count,0,0,0,0,0,0
27,20261028,4,4,4,4,0,0,-1,played,47,f9ef7b0f72422b99,3iar,0,1,0,0,1,0
28,20261029,4,4,4,4,0,0,-1,played,52,57c85cd45ef750b5,count,0,0,0,0,0,0
29,20261030,4,4,4,4,0,0,-1,played,49,c6c09caba22a06bb,3iar,0,0,0,0,0,0
30,20261031,4,4,4,4,0,0,-1,played,43,a849f4bc7b736e75,3iar,0,0,0,0,0,0
31,20261032,4,4,4,4,0,0,-1,played,47,5ea699b95624d1d9,3iar,0,0,0,0,0,0
32,20261033,4,4,4,4,0,0,-1,played,51,b2fff7eb882e3e63,3iar,0,0,0,0,0,0
33,20261034,4,4,4,4,0,0,-1,played,59,4ecf3cf52936cd04,count,0,0,0,0,0,0
34,20261035,4,4,4,4,0,0,-1,played,57,983fc3847fac6a0d,3iar,0,0,0,0,0,0
35,20261036,4,4,4,4,0,0,-1,played,43,d8bf308710eed021,3iar,0,0,0,0,0,0
36,20261037,4,4,4,4,0,0,-1,played,53,c28836495f66716b,3iar,0,0,0,0,0,0
37,20261038,4,4,4,4,0,0,-1,played,49,ab40c0a8a762fc53,3iar,0,0,0,0,0,0
38,20261039,4,4,4,4,0,0,-1,played,47,2610bdc681ea65ec,3iar,0,0,0,0,0,0
39,20261040,4,4,4,4,0,0,-1,played,47,4240ac8bac940807,3iar,1,0,1,0,0,0
40,20261041,4,4,4,4,0,0,-1,played,57,1839f13344e26824,count,0,0,0,0,0,0
41,20261042,4,4,4,4,0,0,-1,played,41,14aab6c64a90437c,3iar,0,0,0,0,0,0
42,20261043,4,4,4,4,0,0,-1,played,43,aa11535dc356ed27,3iar,0,0,0,0,0,0
43,20261044,4,4,4,4,0,0,-1,played,37,aa4599f8cbfdb9d0,3iar,0,0,0,0,0,0
44,20261045,4,4,4,4,0,0,-1,played,45,68fcd872b54f94c0,3iar,0,0,0,0,0,0
45,20261046,4,4,4,4,0,1,-1,played,42,9694cbfddd7ec283,3iar,0,0,0,0,0,0
46,20261047,4,4,4,4,0,0,-1,played,47,cdd00c27c981a23e,3iar,0,0,0,0,0,0
47,20261048,4,4,4,4,0,0,-1,played,51,1b34058fc41c8015,3iar,0,0,0,0,0,0
48,20261049,4,4,4,4,0,0,-1,played,37,91a95f841575b654,3iar,0,0,0,0,0,0
49,20261050,4,4,4,4,0,1,-1,played,48,7d74e7ac1ac29653,3iar,1,0,1,0,0,0
50,20261051,4,4,4,4,0,0,-1,played,37,901d24cb8a2f6266,3iar,0,0,0,0,0,0
51,20261052,4,4,4,4,0,0,-1,played,47,6b19e6cf9a010673,3iar,0,0,0,0,0,0
52,20261053,4,4,4,4,0,0,-1,played,39,fb4c43799a09842b,3iar,0,0,0,0,0,0
53,20261054,4,4,4,4,0,0,-1,played,41,44986677c719f007,3iar,0,0,0,0,0,0
54,20261055,4,4,4,4,0,0,-1,played,43,23edd4383324586f,3iar,0,0,0,0,0,0
55,20261056,4,4,4,4,0,0,-1,played,45,d6686961b2a2ceaa,3iar,0,0,0,0,0,0
56,20261057,4,4,4,4,0,0,-1,played,61,9505a6a440dcb042,3iar,0,0,0,0,0,0
57,20261058,4,4,4,4,0,0,-1,played,45,2146f7e4819a0f21,3iar,0,0,0,0,0,0
58,20261059,4,4,4,4,0,1,-1,played,44,905cbc2d59e8255c,3iar,0,0,0,0,0,0
59,20261060,4,4,4,4,0,0,-1,played,43,ebd43087b820ac30,3iar,0,0,0,0,0,0
60,20261061,4,4,4,4,0,0,-1,played,57,3b33db7b70d13698,3iar,0,0,0,0,0,0
61,20261062,4,4,4,4,0,1,-1,played,48,e50324af0a2e1974,3iar,0,0,0,0,0,0
