player,evaluations,count_differential_evaluations
0,1348947,2136
0,234343,766
0,232733,998
0,222332,1943
0,196749,2405
0,210364,2981
0,165885,11605
0,163778,15881
0,123560,12293
0,108034,13353
0,91685,27899
0,108186,43257
0,80848,35260
0,63991,25768
0,49464,24063
0,93530,55195
0,245156,78600
0,238884,103309
0,269911,208503
0,233637,90121
0,222431,80521
0,0,0
0,0,0
0,0,0
0,0,0
0,1381307,2154
0,233204,764
0,242980,1115
0,242529,1421
0,234054,2214
0,210038,2624
0,180861,3267
0,168710,4120
0,127635,3901
0,115221,23899
0,105738,31185
0,136236,74806
0,126795,78732
0,106497,70699
0,243698,205207
0,238687,185181
0,241375,174732
0,244585,120028
0,321,259
0,1344259,2132
0,251418,827
0,248326,1032
0,237785,1749
0,239101,2418
0,192478,2781
0,198765,4478
0,138695,5114
0,147783,9980
0,174410,82950
0,143397,68846
0,262341,226208
0,255747,38097
0,249668,226277
0,247600,59223
0,248043,73854
0,239252,96432
0,252309,133624
0,33671,9735
0,0,0
0,1285183,1962
0,230461,716
0,242586,1146
0,243643,1562
0,242134,2536
0,210308,2849
0,164993,10505
0,156456,10644
0,134666,10914
0,110866,9885
0,91407,20386
0,80354,21664
0,75701,32598
0,57512,26311
0,225148,192395
0,183478,153065
0,167418,113166
0,205169,89652
0,263584,211663
0,142825,74957
0,108163,21329
0,0,0
0,0,0
0,0,0
0,0,0
0,1350472,2136
0,241609,821
0,245053,1026
0,239897,1906
0,241914,2685
0,210094,2839
0,198276,4202
0,153884,3836
0,119872,6918
0,117010,26708
0,107331,26936
0,71196,15562
0,74971,26808
0,68427,29042
0,41118,16762
0,235136,207221
0,242338,126037
0,251174,62391
0,255752,217130
0,227564,157141
0,212476,151285
0,155595,91098
0,83619,54133
0,0,0
0,0,0
0,0,0
0,0,0
0,1126189,1559
0,243397,761
0,236710,9729
0,241137,12295
0,235594,12816
0,219282,14507
0,226862,37906
0,249043,237060
0,240031,226587
0,243957,229717
0,239627,222912
0,249471,227264
0,261629,229007
0,243720,176542
0,247732,162228
0,293720,220843
0,256025,83584
0,231636,196280
0,212,194
