player,evaluations,count_differential_evaluations
0,45544,18
0,257085,721
0,261778,1095
0,256150,1884
0,241972,2908
0,210206,3373
0,198817,4839
0,150235,4504
0,149873,32848
0,270438,256606
0,271024,252553
0,258617,248228
0,289616,289373
0,278722,278157
0,266969,266373
0,268808,267668
0,274815,261527
0,285043,189452
0,250395,216940
0,244354,174215
0,76171,37606
0,36172,17567
0,0,0
0,0,0
0,50011,50
0,258859,448
0,260336,905
0,263150,1562
0,243266,2314
0,211427,2677
0,200185,4590
0,170724,5019
0,134445,17586
0,102843,14284
0,263137,256065
0,257762,236583
0,260740,241674
0,259146,211091
0,262797,222440
0,294474,277289
0,307618,265162
0,283465,282486
0,267767,266179
0,252263,251402
0,8582,8582
0,0,0
0,50075,104
0,264743,720
0,271414,3968
0,264509,12069
0,251794,13416
0,218542,12058
0,188869,12023
0,177597,14105
0,136337,11741
0,112978,11652
0,96752,25117
0,90634,34300
0,63239,18781
0,46397,14969
0,113915,83883
0,251497,180503
0,247592,145349
0,269092,138331
0,274316,181912
0,255012,185345
0,31665,20916
0,0,0
0,0,0
0,50011,50
0,270995,481
0,269971,7667
0,260923,13075
0,251794,13622
0,218600,12427
0,207947,14906
0,178116,14754
0,123373,6246
0,107265,10349
0,114198,16959
0,89578,28851
0,81101,32725
0,69802,30023
0,254594,212108
0,267849,59913
0,267921,72567
0,296867,268953
0,259563,44168
0,222951,56689
0,263,65
0,23,23
0,45544,18
0,266882,1186
0,313085,1794
0,276421,2880
0,242136,3068
0,210476,3588
0,166934,7437
0,157478,9948
0,125374,10653
0,126313,8660
0,88533,11415
0,84037,23767
0,72099,29600
0,69577,33872
0,75535,54729
0,208390,166643
0,335228,312806
0,346932,267246
0,329592,116334
0,263998,105261
0,32491,16491
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,104
0,354104,886
0,287960,3976
0,285917,14079
0,251403,14168
0,219534,13063
0,181878,25183
0,172804,26447
0,162145,28718
0,123553,23546
0,101515,22082
0,175649,126960
0,337232,293496
0,367826,63790
0,365478,191374
0,376243,38582
0,368131,69978
0,350269,100887
0,336990,292909
0,0,0
0,0,0
0,0,0
0,0,0
0,50011,50
0,342267,610
0,314308,1630
0,277574,2207
0,243324,2735
0,211427,2894
0,182116,3564
0,172117,5582
0,144402,5171
0,98316,5900
0,96916,24203
0,81505,21498
0,80984,34205
0,61320,29369
0,99037,64806
0,277002,77801
0,308750,252837
0,272054,217788
0,254908,200189
0,193500,191807
0,16600,16600
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,18
0,273315,698
0,263950,3951
0,269190,13791
0,251794,13304
0,218537,11762
0,208107,14850
0,177601,13979
0,151987,13626
0,124131,35015
0,126162,43331
0,105905,25580
0,155562,104133
0,63858,23424
0,154322,109042
0,43254,22309
0,58183,37407
0,112164,64576
0,190193,116325
0,166899,121851
0,245429,220582
0,245541,154946
0,242507,234711
0,170418,164765
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,18
0,253204,642
0,248695,1108
0,250157,2421
0,242194,3042
0,210420,3321
0,181175,3827
0,172265,5294
0,121006,6218
0,140291,29946
0,76941,11112
0,80039,15830
0,57781,11052
0,66120,27039
0,257865,219616
0,241653,204104
0,263904,261862
0,265067,148451
0,260849,72221
0,262241,101893
0,11791,8201
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50011,50
0,319017,569
0,303699,1577
0,277574,2207
0,243266,2577
0,211483,3030
0,182170,3752
0,170918,5780
0,130422,4693
0,99444,6372
0,93109,20805
0,75563,24636
0,75246,29426
0,120708,87860
0,290010,227280
0,362666,154793
0,275375,222223
0,253327,192925
0,49627,26369
0,82793,40984
0,0,0
0,0,0
0,50075,104
0,323577,799
0,240462,1375
0,253113,2074
0,243602,2800
0,211695,2939
0,200659,5248
0,170565,5063
0,129804,4709
0,97947,5793
0,101093,28355
0,87898,30460
0,72022,33459
0,67604,32961
0,51617,26260
0,45580,26456
0,65093,43173
0,70107,48660
0,110115,75092
0,249682,126438
0,74868,58445
0,18188,8971
0,4991,2321
0,605,287
0,0,0
0,0,0
0,45544,18
0,269968,1186
0,276624,1609
0,264751,2605
0,242310,3585
0,210476,3701
0,166184,6478
0,175117,12869
0,118993,8891
0,117282,11500
0,87824,11770
0,76051,12775
0,75795,26281
0,62897,20040
0,219963,183467
0,131318,106206
0,179171,84185
0,270727,120347
0,342081,171704
0,357340,283117
0,45,45
0,45544,18
0,333191,1197
0,289529,7700
0,285977,14513
0,251463,14609
0,219590,13381
0,207944,14421
0,184100,25676
0,140655,21678
0,113036,25847
0,119899,38289
0,101113,38551
0,78606,32775
0,62935,27566
0,52002,27969
0,40225,20344
0,30872,16160
0,53553,33953
0,333233,278509
0,109017,77613
0,171472,143039
0,140749,124604
0,5112,4338
0,1220,933
0,185,140
0,50075,104
0,349695,885
0,314544,1257
0,277802,1917
0,243486,2320
0,211695,2694
0,182320,3164
0,171269,3998
0,120988,6761
0,138370,25847
0,95582,23454
0,117461,53755
0,78474,28703
0,61807,23084
0,333800,170476
0,325338,80332
0,353214,121550
0,378886,175595
0,349775,177268
0,359247,248314
0,9630,6852
0,0,0
0,50011,50
0,353732,614
0,314308,1589
0,277574,2177
0,243266,2556
0,211483,3000
0,200131,4720
0,170776,5279
0,130942,4180
0,99851,6487
0,79267,10810
0,59906,9265
0,114667,51050
0,369259,40204
0,353954,61305
0,274247,102638
0,280617,94737
0,290074,117947
0,284218,205495
0,306773,199198
0,323,257
0,50011,50
0,341649,606
0,314246,1105
0,277514,1782
0,243208,2188
0,211427,2573
0,200078,4398
0,170673,4838
0,138003,13129
0,108672,15229
0,100166,27770
0,356489,329231
0,341067,314563
0,295150,258314
0,251043,216510
0,260478,117399
0,272502,163556
0,269156,168497
0,287981,63991
0,263393,74419
0,52994,12204
0,160402,55300
0,113626,41598
0,0,0
0,0,0
0,0,0
0,45544,18
0,277364,702
0,267934,1287
0,272759,1961
0,241856,2394
0,210150,2794
0,198272,4211
0,168720,4234
0,116670,7058
0,102012,11318
0,92270,18258
0,76252,23815
0,70922,24468
0,89136,52730
0,284901,89447
0,274632,88623
0,282961,228128
0,280052,256711
0,270989,244836
0,78395,69400
0,33,0
0,50075,104
0,267275,662
0,276989,1112
0,267519,1780
0,243544,2485
0,211695,2795
0,201057,4030
0,171600,4188
0,131783,21269
0,143432,31320
0,86634,20153
0,81710,13933
0,63102,16104
0,49530,15012
0,56116,21881
0,162584,141298
0,177362,148466
0,156201,117748
0,270980,74522
0,263589,70730
0,266240,216220
0,278,247
0,50075,104
0,265770,690
0,267018,1183
0,268828,2241
0,243602,2876
0,211807,3350
0,182428,3734
0,171269,4366
0,119750,5458
0,110887,20031
0,101075,20279
0,86346,29423
0,83605,39954
0,118732,86405
0,61134,34338
0,43358,23366
0,57017,34632
0,268811,98352
0,278253,250493
0,334907,304188
0,290445,267105
0,5554,5262
0,0,0
0,0,0
0,0,0
0,50075,104
0,354104,886
0,287960,3976
0,285917,14079
0,251794,13416
0,218542,12058
0,189920,32778
0,181362,34227
0,170421,36190
0,221992,112245
0,377486,351051
0,365704,96013
0,356927,104902
0,389890,312818
0,370374,89298
0,353127,87764
0,328746,215491
0,158757,20285
0,0,0
0,0,0
0,0,0
0,0,0
0,50011,50
0,323334,552
0,289529,7700
0,285977,14510
0,251794,13622
0,218656,12531
0,208055,15050
0,178066,14677
0,144538,22095
0,129598,30357
0,100576,30814
0,334604,242969
0,291039,55712
0,299399,268515
0,291448,91033
0,277584,106729
0,273271,117041
0,269161,146249
0,266861,131698
0,270451,130376
0,241983,113122
0,80,67
0,50075,104
0,266655,722
0,268331,1535
0,258374,1789
0,243602,2800
0,211695,2939
0,166536,5511
0,182630,24188
0,280587,262960
0,263740,234211
0,310911,280651
0,303251,269140
0,290261,237734
0,267414,236896
0,258854,228423
0,263290,230286
0,284346,113732
0,355643,273098
0,339456,309063
0,299321,289046
0,67204,50629
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,18
0,321155,1363
0,292223,1763
0,276361,2660
0,242136,3048
0,210420,3490
0,167098,7512
0,162640,11747
0,138763,30382
0,155149,48467
0,309187,281330
0,271638,214494
0,269912,213916
0,263065,93012
0,297886,261039
0,287897,221201
0,290385,224063
0,275648,106154
0,269324,127170
0,206,191
0,45544,18
0,269673,1259
0,264173,1547
0,264193,2202
0,241856,2683
0,210094,2966
0,198815,5240
0,169436,5585
0,130102,4919
0,97572,5047
0,94286,21327
0,80582,21422
0,74364,27055
0,60256,20463
0,48813,19427
0,354316,227431
0,388867,159964
0,300506,64992
0,287976,239592
0,33470,4547
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,104
0,265358,642
0,257887,1349
0,256756,2215
0,243602,2876
0,211863,3482
0,200658,5369
0,155358,4390
0,119892,7203
0,110239,20946
0,97368,25311
0,89312,30822
0,64680,21719
0,89940,49062
0,88814,61839
0,212964,146897
0,278706,105076
0,347313,150369
0,344588,129905
0,126261,106521
0,213,193
0,45544,18
0,369749,1446
0,303494,1670
0,259662,2166
0,242192,2890
0,210364,3191
0,181229,4137
0,172213,5466
0,144726,5256
0,99583,6235
0,90454,18605
0,85045,28375
0,74448,28942
0,111619,73270
0,268086,140382
0,273283,108783
0,275498,145413
0,272912,157290
0,269637,226138
0,224213,219253
0,60030,43037
0,0,0
0,0,0
0,0,0
0,0,0
0,50011,50
0,259977,499
0,252750,626
0,255499,6051
0,247937,38667
0,265457,253927
0,256058,243929
0,243880,230999
0,253372,238090
0,254329,239703
0,266603,250873
