game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,5,6,5,6,0,1,-1,played,50,1b214537c1880d84,3iar,0,0,0,0,0,0
1,20261002,8,3,7,6,0,0,-1,played,39,746eb6148c23000b,3iar,0,0,0,0,0,0
2,20261003,6,3,7,0,0,0,-1,played,53,f6e476d41af0e53a,3iar,0,0,0,0,0,0
3,20261004,3,0,3,0,0,0,-1,played,43,0096a5cd0c469fbc,3iar,0,0,0,0,0,0
4,20261005,3,2,3,2,0,0,-1,played,55,cea8b75a7b6bb0eb,3iar,0,0,0,0,0,0
5,20261006,2,5,1,8,0,1,-1,played,46,1f091c73f10906fb,3iar,0,0,0,0,0,0
6,20261007,5,2,3,8,0,0,-1,played,53,fda4ed104b8f98da,3iar,0,0,0,0,0,0
7,20261008,0,3,1,0,0,1,-1,played,44,605f147bb2ab8f60,3iar,0,0,0,0,0,0
8,20261009,8,5,7,8,0,0,-1,played,49,1dd10977b4547597,3iar,0,0,0,0,0,0
9,20261010,5,8,5,8,0,1,-1,played,44,6b3cf85fed494603,3iar,0,0,0,0,0,0
10,20261011,5,0,3,6,0,0,-1,played,45,43de82a1de5ee312,3iar,0,0,0,0,0,0
11,20261012,3,2,3,2,0,2,-1,played,54,e9d876aa21ac6d5e,draw,0,1,0,0,1,0
12,20261013,8,5,7,8,0,0,-1,played,53,65ff5e63c27403ff,3iar,0,0,0,0,0,0
13,20261014,5,0,3,6,0,0,-1,played,43,356cf14f1cfab450,3iar,0,0,0,0,0,0
14,20261015,5,8,5,8,0,0,-1,played,41,46784f143f693259,3iar,0,0,0,0,0,0
15,20261016,3,0,3,0,0,0,-1,played,47,62579228bbb7e943,3iar,0,0,0,0,0,0
16,20261017,8,5,7,8,0,0,-1,played,53,4034d9e680beb2f4,3iar,0,0,0,0,0,0
17,20261018,5,0,3,6,0,0,-1,played,41,1cb87d9fa674cbd6,3iar,0,0,0,0,0,0
18,20261019,2,5,1,8,0,0,-1,played,51,a950da29d3efca74,3iar,0,0,0,0,0,0
19,20261020,3,8,5,2,0,0,-1,played,49,7fac79c69ab455c0,3iar,0,0,0,0,0,0
20,20261021,3,0,3,0,0,0,-1,played,45,1c987491a208e398,3iar,0,0,0,0,0,0
21,20261022,6,3,7,0,0,0,-1,played,51,6a4e7f2ba19b1ca5,3iar,0,0,0,0,0,0
22,20261023,3,2,3,2,0,0,-1,played,47,83283b688addaec8,3iar,0,0,0,0,0,0
