player,evaluations,count_differential_evaluations
0,50011,65
0,177107,411
0,224806,727
0,241995,1445
0,243208,2357
0,195773,8826
0,208121,14580
0,159253,12311
0,122733,5565
0,124277,32915
0,239199,227367
0,260921,244797
0,271877,252201
0,252932,236278
0,256144,230752
0,182839,164387
0,270596,263718
0,267167,253825
0,173207,148096
0,238004,211384
0,233862,201842
0,239159,239159
0,122998,119222
0,0,0
0,0,0
0,50075,119
0,241545,762
0,128353,587
0,144215,1289
0,144268,1659
0,203383,3023
0,182482,3824
0,170957,5329
0,120469,7208
0,137529,37823
0,97308,22437
0,140077,77657
0,113349,67930
0,257899,123341
0,272153,80454
0,266219,93820
0,258852,123095
0,264965,140696
0,268542,172828
0,0,0
0,50011,65
0,259464,543
0,150306,1069
0,252984,1956
0,230477,2307
0,211595,3422
0,167765,7272
0,177342,12633
0,162024,30590
0,119947,19690
0,100853,16696
0,78224,30724
0,54772,19060
0,66782,23509
0,86037,55710
0,257947,183026
0,257441,195402
0,253111,191058
0,236224,171069
0,81089,59329
0,63920,38266
0,77529,41138
0,221167,138880
0,57288,27354
0,0,0
0,0,0
0,0,0
0,50075,119
0,256012,752
0,252255,1513
0,253651,1794
0,243486,2503
0,194500,6462
0,205123,12164
0,148023,11928
0,137068,13626
0,105313,14290
0,99493,26086
0,76460,19051
0,77654,22197
0,100224,49908
0,274141,73807
0,274641,222822
0,283737,30431
0,269446,58830
0,259422,57153
0,251480,50258
0,245418,77508
0,45,40
0,50011,65
0,247239,562
0,260486,1465
0,258869,1747
0,243208,2392
0,195885,9208
0,202687,4757
0,173164,5245
0,143521,13916
0,111178,15833
0,181828,94299
0,123203,65156
0,101861,55380
0,55000,28456
0,267157,101083
0,282643,59821
0,246281,78243
0,261199,118800
0,275472,147901
0,172701,95717
0,251793,146106
0,221179,128761
0,115276,101469
0,138366,127101
0,16737,13966
0,0,0
0,0,0
0,0,0
0,50011,65
0,198400,483
0,167334,547
0,244809,1510
0,243208,2357
0,195773,8826
0,208121,14580
0,174969,14617
0,134439,12477
0,126813,29476
0,93005,21010
0,81800,23825
0,88116,35386
0,60685,26824
0,272215,130914
0,294539,97699
0,269513,90787
0,270896,95062
0,265708,105306
0,264418,129139
0,245752,87131
0,1519,1291
0,0,0
0,50011,65
0,165707,409
0,229502,760
0,252499,1541
0,243208,2357
0,211595,3361
0,201412,4599
0,168549,5300
0,129126,4794
0,97730,5486
0,94643,22979
0,146998,87266
0,117925,69568
0,88019,48920
0,52824,24890
0,28274,12714
0,32778,16761
0,74220,46556
0,268868,162948
0,254242,139306
0,147167,66244
0,188215,104604
0,96700,63908
0,53969,36990
0,0,0
0,0,0
0,0,0
0,50075,119
0,267003,760
0,263852,1783
0,266120,2301
0,243544,2655
0,211807,3234
0,182320,3184
0,150639,17154
0,128014,14441
0,144675,36446
0,99026,27093
0,263837,254305
0,269479,255752
0,268062,240774
0,299613,262390
0,301501,201915
0,324064,164154
0,296114,248692
0,286873,238808
0,314173,276076
0,3705,3477
0,0,0
0,50075,119
0,263122,803
0,269602,1115
0,277920,2300
0,243486,2503
0,194500,6462
0,205123,12164
0,159036,9816
0,133340,9715
0,136172,24581
0,90279,14509
0,92325,36993
0,81821,37874
0,105736,74635
0,256980,188535
0,267113,65482
0,260438,111572
0,276324,105810
0,287086,146709
0,188781,158205
0,150702,148596
0,43,43
0,0,0
0,0,0
0,0,0
0,50075,119
0,242429,733
0,229869,1035
0,277862,2322
0,243544,2655
0,194612,6617
0,205077,12153
0,155095,9942
0,134035,25971
0,277276,251079
0,262051,235241
0,321017,281875
0,252374,219385
0,261143,228047
0,250239,212967
0,287525,242274
0,283851,247022
0,272769,231524
0,259788,215535
0,275253,96768
0,258180,93893
0,0,0
0,50075,119
0,276555,797
0,260551,1405
0,263629,1887
0,243600,2631
0,211863,3381
0,201790,5030
0,168601,5176
0,118722,7157
0,125630,25738
0,96701,23711
0,81460,23123
0,84530,39400
0,60893,27326
0,82776,51427
0,271099,109344
0,268384,101179
0,283096,216009
0,270160,187977
0,254281,178605
0,128056,90647
0,13491,10631
0,180,145
0,50011,65
0,264615,578
0,261352,1465
0,252107,1602
0,243208,2392
0,211595,3422
0,200187,5152
0,170267,5192
0,131084,4545
0,98472,5433
0,90247,18373
0,86881,31898
0,74340,29911
0,59094,25815
0,52606,26121
0,83436,59511
0,251561,180231
0,258570,181561
0,319946,134879
0,351943,245542
0,207026,86404
0,49602,31114
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,119
0,291107,917
0,268585,1210
0,266328,2040
0,243544,2655
0,211919,3530
0,201057,3755
0,153658,3736
0,143373,4073
0,98928,5328
0,95039,20256
0,78951,18471
0,51001,11817
0,51896,14349
0,48857,14541
0,38994,13776
0,69521,43839
0,253957,149524
0,239479,124206
0,120556,60629
0,171563,109834
0,152420,92772
0,93851,49694
0,78258,41146
0,52784,28829
0,27392,19060
0,107,74
0,50075,119
0,271756,791
0,314606,1726
0,277920,2300
0,243486,2503
0,211863,3518
0,200113,4832
0,141757,5422
0,142144,30637
0,206613,92731
0,112151,29660
0,134390,74432
0,110092,63196
0,91614,53527
0,79634,48510
0,267073,216667
0,302166,236796
0,242253,188933
0,170346,125233
0,228884,153069
0,68895,51385
0,61,46
0,50075,119
0,339245,1016
0,302872,1497
0,241714,1797
0,236498,2380
0,211863,3534
0,201786,5073
0,143946,7084
0,128611,17565
0,130810,29691
0,95823,25158
0,93304,36484
0,74896,27624
0,67770,32883
0,87027,58130
0,48255,30865
0,91753,65207
0,54290,39359
0,262105,168678
0,262245,126244
0,69,57
0,50075,119
0,271090,768
0,263954,1786
0,265883,2274
0,243544,2655
0,211919,3530
0,200497,5076
0,170565,5115
0,131322,4448
0,124316,24115
0,253144,236520
0,258010,234231
0,268406,61847
0,277239,252982
0,295253,265868
0,290518,247165
0,290864,247860
0,283248,229569
0,4480,1668
0,1273,515
0,850,401
0,0,0
0,0,0
0,0,0
0,50075,119
0,352068,1022
0,314606,1726
0,277920,2300
0,243486,2503
0,211751,3068
0,201057,4107
0,168756,5355
0,128726,4385
0,98558,6189
