game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,4,7,5,4,0,2,-1,played,44,24128c40059438e3,draw,1,1,1,0,1,0
1,20261002,7,4,7,4,0,0,-1,played,49,aff188225d9f20be,3iar,0,0,0,0,0,0
2,20261003,7,4,7,4,0,0,-1,played,51,c7c02e6beadefda7,3iar,0,0,0,0,0,0
3,20261004,4,1,3,4,0,1,-1,played,48,0c0ca2e092a240ac,3iar,1,0,1,0,0,0
4,20261005,4,1,3,4,0,0,-1,played,53,e1bca1f53cb619cf,3iar,0,0,0,0,0,0
5,20261006,1,4,1,4,0,0,-1,played,55,93147b0ccfa1320b,3iar,0,0,0,0,0,0
6,20261007,4,1,3,4,0,0,-1,played,45,324cac59b25d153c,3iar,0,0,0,0,0,0
7,20261008,1,4,1,4,0,0,-1,played,53,c84953587c7a5f22,3iar,0,0,0,0,0,0
8,20261009,7,4,7,4,0,0,-1,played,51,036c2f6ddd4ec8bf,3iar,0,0,0,0,0,0
9,20261010,4,7,5,4,0,1,-1,played,42,61bd8172e6cbf2af,3iar,0,0,0,0,0,0
10,20261011,4,1,3,4,0,0,-1,played,45,c4863fe837dc29a3,3iar,0,0,0,0,0,0
11,20261012,4,1,3,4,0,0,-1,played,43,e0dec8f3c3b159fc,3iar,0,0,0,0,0,0
12,20261013,7,4,7,4,0,0,-1,played,43,e8960578372ec45b,3iar,0,0,0,0,0,0
13,20261014,4,1,3,4,0,0,-1,played,45,a16317422138a642,3iar,0,0,0,0,0,0
14,20261015,4,7,5,4,0,2,-1,played,49,6aaeb57a2887bbb8,draw,0,0,0,0,0,0
15,20261016,4,1,3,4,0,0,-1,played,33,3d7d7d9fc5aafd8c,3iar,0,0,0,0,0,0
16,20261017,7,4,7,4,0,0,-1,played,49,76e5765415f7e07b,3iar,0,0,0,0,0,0
17,20261018,4,1,3,4,0,1,-1,played,49,c5c88533c7ccf5e7,count,0,0,0,0,0,0
18,20261019,1,4,1,4,0,0,-1,played,47,1cd4cb135881fb2c,3iar,1,2,0,1,2,0
19,20261020,4,7,5,4,0,0,-1,played,51,ecbf2fa56f94a141,3iar,0,0,0,0,0,0
20,20261021,4,1,3,4,0,0,-1,played,50,e1a0a6b0ae2feb64,count,0,0,0,0,0,0
21,20261022,7,4,7,4,0,1,-1,played,38,02a7e769166014ca,3iar,1,1,1,0,1,0
22,20261023,4,1,3,4,0,0,-1,played,53,776c38d6875b6671,3iar,0,0,0,0,0,0
23,20261024,1,4,1,4,0,0,-1,played,35,167f82a41d7ddc3b,3iar,0,0,0,0,0,0
24,20261025,4,7,5,4,0,0,-1,played,43,6471637897723e6b,3iar,0,0,0,0,0,0
