player,evaluations,count_differential_evaluations
0,50011,48
0,212049,354
0,233450,881
0,256723,7070
0,218374,11136
0,169580,8598
0,208048,14173
0,269954,113230
0,188506,84449
0,179571,73214
0,266563,231279
0,265608,230550
0,244349,219313
0,168879,145754
0,129850,32112
0,250862,82596
0,147168,62752
0,267824,50474
0,255294,90115
0,257901,105802
0,184258,87268
0,65362,38291
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,102
0,262086,618
0,251138,961
0,256293,1786
0,243544,2418
0,211695,2760
0,201059,3953
0,168339,4542
0,129107,4469
0,110008,19229
0,98990,26198
0,85745,35785
0,130789,86547
0,261812,204316
0,186758,136099
0,221494,157061
0,253606,165875
0,244889,163447
0,226872,151045
0,249669,101278
0,256449,208730
0,139016,119330
0,0,0
0,50011,48
0,263640,438
0,244310,873
0,251852,1456
0,243117,2299
0,211427,2641
0,201410,4446
0,155808,23292
0,159905,26631
0,121977,22543
0,105008,35164
0,257939,241495
0,252239,230957
0,275758,250808
0,296572,292724
0,297826,254247
0,301614,76821
0,253915,218906
0,146435,115228
0,34472,28991
0,26820,21943
0,0,0
0,0,0
0,50075,102
0,251932,636
0,241613,1292
0,241569,1914
0,243716,2824
0,211807,3170
0,167341,4950
0,174550,9855
0,133802,8221
0,135770,23680
0,94257,21135
0,90641,34071
0,75025,28722
0,55943,21928
0,83080,54122
0,201121,156053
0,256808,200818
0,274831,99650
0,284307,186982
0,255663,81584
0,84108,31588
0,56458,26511
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50011,48
0,271220,446
0,259222,1378
0,259589,2077
0,243382,2963
0,197148,9145
0,208634,14614
0,161251,10765
0,152745,12162
0,138603,26307
0,258237,231784
0,260821,240510
0,259809,239442
0,250315,221654
0,257029,232675
0,248861,153846
0,279514,25448
0,283408,54496
0,277886,107646
0,267868,85795
0,268138,121939
0,254699,108632
0,173117,92531
0,179132,108658
0,8079,5607
0,0,0
0,0,0
0,50011,48
0,138914,260
0,161111,3951
0,250617,14032
0,246969,14472
0,219534,13383
0,207450,14365
0,158288,13203
0,131240,22376
0,148610,40179
0,101294,27281
0,86206,28102
0,80219,33166
0,94139,47360
0,92647,55764
0,261477,212624
0,260970,228306
0,254992,239604
0,99818,90188
0,86,72
0,50011,48
0,260531,482
0,257051,6669
0,253819,13656
0,251463,14794
0,219338,14940
0,208225,17169
0,178276,16153
0,137186,12443
0,133395,22957
0,77645,10763
0,84092,23469
0,72605,21904
0,99449,58780
0,271379,115400
0,274029,224024
0,283299,208251
0,264067,196505
0,52019,39514
0,0,0
0,50075,102
0,255844,639
0,251603,1424
0,247913,2157
0,243660,2941
0,194617,4784
0,226084,36386
0,198703,193014
0,275485,263873
0,280358,260942
0,275667,255088
0,279830,218624
0,273268,217441
0,155930,51198
0,222684,43003
0,284203,270289
0,282229,25779
0,259520,56418
0,251284,72373
0,235933,87510
0,51822,39615
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,102
0,262350,697
0,254024,1038
0,264221,2196
0,243716,3000
0,195326,6472
0,207926,15010
0,178039,14210
0,143176,19985
0,187497,8082
0,283910,10861
0,265215,59147
0,276072,71537
0,237353,63169
0,259197,93061
0,150577,125898
0,261576,79354
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,102
0,258229,686
0,260063,1264
0,257099,2144
0,243602,2787
0,195928,6227
0,189246,11160
0,144257,9896
0,152341,13182
0,89972,9199
0,110965,26982
0,86494,16279
0,80490,16180
0,61969,18831
0,47844,16793
0,38966,13673
0,40002,19519
0,91778,73200
0,200568,119276
0,136622,42860
0,258637,105590
0,5,4
0,50075,102
0,189438,454
0,155091,659
0,260767,2315
0,243602,2787
0,194393,4745
0,204608,10340
0,158594,8583
0,132808,8161
0,125281,21011
0,266187,251510
0,253484,228736
0,258941,230536
0,257184,222110
0,193608,170340
0,181452,158016
0,261350,258736
0,262730,205195
0,262711,181490
0,36672,13658
0,15110,5995
0,0,0
0,0,0
0,50011,48
0,154365,299
0,252205,879
0,234462,1420
0,243266,2308
0,196263,7509
0,190619,33062
0,182108,35541
0,155533,33206
0,131305,30974
0,131368,40359
0,268517,240270
0,282173,23814
0,272073,62926
0,274690,84741
0,208785,175191
0,226929,158453
0,277931,191789
0,43135,2918
0,0,0
0,50075,102
0,185193,552
0,178318,721
0,222382,1863
0,187882,2475
0,205273,3342
0,201003,3838
0,168704,5236
0,128827,4385
0,102838,11642
0,83546,5676
0,65133,18754
0,77173,30932
0,75469,35231
0,262725,159487
0,285278,124306
0,300441,289822
0,289455,56113
0,258753,74191
0,224282,92385
0,195,147
0,50075,102
0,177140,445
0,141848,3566
0,210787,9768
0,251405,14181
0,219284,14181
0,208046,15563
0,162166,12818
0,128132,15500
0,123863,25106
0,173352,112228
0,282604,250154
0,261056,240061
0,267499,254931
0,277090,72270
0,283864,84976
0,266152,189181
0,262785,117947
0,239401,151803
0,92081,90816
0,105748,104192
0,60619,56664
0,4726,4483
0,0,0
0,50075,102
0,262139,704
0,260270,4036
0,256630,11982
0,251521,14787
0,219282,14477
0,208658,16934
0,158240,13153
0,134403,11516
0,101814,10189
0,76063,8968
0,70144,13510
0,66208,8650
0,49940,12002
0,85729,56814
0,221638,200493
0,224132,209700
0,142694,141120
0,273770,227232
0,258700,218874
0,192,192
0,50075,102
0,140306,269
0,255360,1318
0,260462,2051
0,223534,4898
0,219382,13834
0,208871,16655
