game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,8,0,6,6,0,0,-1,played,47,c0b64ef6287a28ed,3iar,0,0,0,0,0,0
1,20261002,8,6,8,6,0,0,-1,played,33,423545c80f33e654,3iar,0,0,0,0,0,0
2,20261003,6,6,8,0,0,1,-1,played,50,fd5f9d3e6b2b4c34,3iar,0,0,0,0,0,0
3,20261004,0,6,2,0,0,0,-1,played,39,8ce0edf6bf530f53,3iar,0,0,0,0,0,0
4,20261005,0,8,2,2,0,0,-1,played,43,c0883def012c857c,3iar,0,0,0,0,0,0
5,20261006,2,2,0,8,0,0,-1,played,43,62a1cf30dd4e6a94,3iar,2,2,2,0,2,0
6,20261007,2,8,2,8,0,0,-1,played,41,0f35ddb0ec05efae,3iar,0,0,0,0,0,0
7,20261008,0,0,0,0,0,0,-1,played,54,c4215548ecc3bea1,count,0,0,0,0,0,0
8,20261009,8,8,8,8,0,0,-1,played,43,947b82c8ab776687,3iar,0,0,0,0,0,0
9,20261010,8,2,6,8,0,0,-1,played,37,d7d4045045dafd6c,3iar,0,0,0,0,0,0
10,20261011,2,6,2,6,0,0,-1,played,45,bf17405846c752b2,3iar,0,0,0,0,0,0
11,20261012,0,8,2,2,0,0,-1,played,53,31369b4fcfe177fb,3iar,0,0,0,0,0,0
12,20261013,8,8,8,8,0,1,-1,played,46,48e034e5cc3d31fe,3iar,0,0,0,0,0,0
13,20261014,2,6,2,6,0,2,-1,played,50,e0cd9ae1f7fa4a28,draw,0,0,0,0,0,0
14,20261015,8,2,6,8,0,1,-1,played,52,6215fb46184a85fe,3iar,0,0,0,0,0,0
15,20261016,0,6,2,0,0,0,-1,played,35,0b958205ac9c1f49,3iar,0,0,0,0,0,0
16,20261017,8,8,8,8,0,0,-1,played,39,1c661f14b627ade7,3iar,0,0,0,0,0,0
17,20261018,2,6,2,6,0,0,-1,played,53,9be16f03f0ffa0a6,3iar,0,0,0,0,0,0
18,20261019,2,2,0,8,0,0,-1,played,39,3f325f81b777dc83,3iar,0,1,0,0,1,0
19,20261020,6,2,6,2,0,0,-1,played,53,5adb0f7c58fb74b4,count,1,0,1,0,0,0
20,20261021,0,6,2,0,0,0,-1,played,45,b8918fa49996a120,3iar,0,0,0,0,0,0
21,20261022,6,6,8,0,0,0,-1,played,51,54f7040d7041fffa,3iar,0,0,0,0,0,0
22,20261023,0,8,2,2,0,0,-1,played,57,0cbea43c5a631a09,3iar,0,0,0,0,0,0
23,20261024,0,0,0,0,0,0,-1,played,51,e37cd150ce60ee35,3iar,0,0,0,0,0,0
24,20261025,6,2,6,2,0,0,-1,played,47,f60264241d2b0e1d,3iar,0,0,0,0,0,0
25,20261026,0,8,2,2,0,0,-1,played,47,bfeeea2a4c1205cc,3iar,0,0,0,0,0,0
26,20261027,2,8,2,8,0,0,-1,played,49,d99012b683588806,3iar,0,0,0,0,0,0
27,20261028,0,2,0,2,0,0,-1,played,41,0964ed0cd1a115da,3iar,0,0,0,0,0,0
28,20261029,2,0,0,6,0,0,-1,played,58,4cbbe4244b5d249a,count,0,0,0,0,0,0
29,20261030,0,2,0,2,0,0,-1,played,47,22f15c47204ac610,3iar,1,0,0,1,0,0
30,20261031,2,0,0,6,0,0,-1,played,45,67b6bb99470d97ad,3iar,0,0,0,0,0,0
31,20261032,0,8,2,2,0,1,-1,played,44,2c9dafbd11f11563,3iar,0,0,0,0,0,0
32,20261033,8,0,6,6,0,0,-1,played,47,f02de0f54ca2aa04,3iar,0,0,0,0,0,0
33,20261034,0,2,0,2,0,0,-1,played,37,f547eefab7385608,3iar,0,0,0,0,0,0
34,20261035,6,0,6,0,0,0,-1,played,52,e3ecbfca1b32912e,count,0,0,0,0,0,0
35,20261036,2,8,2,8,0,0,-1,played,49,4bb13fe465ec5378,3iar,0,0,0,0,0,0
36,20261037,2,6,2,6,0,0,-1,played,41,8fff6445ef6008fc,3iar,0,0,0,0,0,0
37,20261038,8,2,6,8,0,0,-1,played,49,ec0dcebe7964e5ff,3iar,0,1,0,0,1,0
38,20261039,8,8,8,8,0,0,-1,played,54,596e259811783510,count,0,0,0,0,0,0
39,20261040,8,0,6,6,0,0,-1,played,51,8a6fe3c93963cd30,3iar,0,1,0,0,1,0
40,20261041,0,8,2,2,0,0,-1,played,47,16ab332c3e4cbf54,3iar,0,0,0,0,0,0
41,20261042,8,6,8,6,0,0,-1,played,49,380cf9a20dff6674,3iar,0,0,0,0,0,0
42,20261043,0,0,0,0,0,0,-1,played,49,4fd9c81920418667,3iar,0,0,0,0,0,0
43,20261044,6,0,6,0,0,1,-1,played,50,430041eefd2a1595,3iar,0,0,0,0,0,0
44,20261045,6,0,6,0,0,0,-1,played,45,1f6828517d8c92d5,3iar,0,0,0,0,0,0
45,20261046,0,2,0,2,0,0,-1,played,49,b09774fe879b85ac,3iar,0,0,0,0,0,0
46,20261047,0,6,2,0,0,0,-1,played,45,131129dcaefdccb1,3iar,0,0,0,0,0,0
47,20261048,2,2,0,8,0,0,-1,played,37,360e1a35bca53d57,3iar,0,0,0,0,0,0
48,20261049,8,6,8,6,0,0,-1,played,51,52fcadeabf37b157,count,0,0,0,0,0,0
49,20261050,0,8,2,2,0,0,-1,played,49,4de2a1e7b3a2b111,3iar,0,0,0,0,0,0
50,20261051,0,8,2,2,0,0,-1,played,43,1fca1cc6437151c0,3iar,0,0,0,0,0,0
51,20261052,8,2,6,8,0,0,-1,played,43,4407f30ff4bddbed,3iar,0,0,0,0,0,0
52,20261053,8,0,6,6,0,0,-1,played,61,6ea1ac798edb3509,3iar,0,0,0,0,0,0
53,20261054,6,0,6,0,0,0,-1,played,61,c1faad8c1e013a4c,3iar,0,0,0,0,0,0
54,20261055,6,0,6,0,0,0,-1,played,39,1fc874c6e9384b95,3iar,0,0,0,0,0,0
55,20261056,6,6,8,0,0,0,-1,played,45,bfb14528b9bfd5ce,3iar,0,0,0,0,0,0
56,20261057,2,6,2,6,0,0,-1,played,49,6018523a9c4ed088,3iar,0,0,0,0,0,0
57,20261058,0,6,2,0,0,0,-1,played,49,eba0212386d270ff,3iar,0,0,0,0,0,0
58,20261059,0,8,2,2,0,0,-1,played,45,b8df5d6a1e90b758,3iar,0,0,0,0,0,0
59,20261060,2,6,2,6,0,1,-1,played,48,0595d4e2efe7adbb,3iar,0,0,0,0,0,0
60,20261061,8,2,6,8,0,0,-1,played,35,ba85f9444c6bcb8d,3iar,0,0,0,0,0,0
61,20261062,6,0,6,0,0,0,-1,played,41,cf87cf31f1b4b931,3iar,0,0,0,0,0,0
62,20261063,2,8,2,8,0,0,-1,played,41,aea77d72c7e57eee,3iar,0,0,0,0,0,0
63,20261064,2,0,0,6,0,0,-1,played,39,b24435acb3a1a838,3iar,0,0,0,0,0,0
64,20261065,8,8,8,8,0,0,-1,played,41,41623f906de4e42b,3iar,0,0,0,0,0,0
65,20261066,2,8,2,8,0,0,-1,played,39,c990a548130fcba9,3iar,0,0,0,0,0,0
66,20261067,0,0,0,0,0,0,-1,played,43,3f940b7639b40e2d,3iar,0,0,0,0,0,0
67,20261068,2,8,2,8,0,0,-1,played,39,05be6d74bda4b0c7,3iar,0,0,0,0,0,0
68,20261069,2,2,0,8,0,0,-1,played,57,7849a84bb39b5894,3iar,0,0,0,0,0,0
69,20261070,2,6,2,6,0,0,-1,played,47,a6c40b725c9600f4,3iar,0,0,0,0,0,0
70,20261071,8,0,6,6,0,0,-1,played,41,205c015055cd3f10,3iar,0,0,0,0,0,0
71,20261072,6,8,8,2,0,1,-1,played,44,cd0512d731d332d1,3iar,0,1,0,0,1,0
72,20261073,6,6,8,0,0,1,-1,played,50,2b6982c808a3ec30,3iar,0,0,0,0,0,0
73,20261074,0,8,2,2,0,0,-1,played,41,135b2f94d76a5f29,3iar,0,0,0,0,0,0
74,20261075,2,6,2,6,0,0,-1,played,55,87a8b807b08d34f4,count,0,0,0,0,0,0
75,20261076,0,2,0,2,0,0,-1,played,47,902f102c7e9e5763,3iar,0,0,0,0,0,0
76,20261077,6,6,8,0,0,1,-1,played,44,f2235b4b45f76051,3iar,0,0,0,0,0,0
77,20261078,8,8,8,8,0,0,-1,played,45,593c9753c90270f8,3iar,0,0,0,0,0,0
