player,evaluations,count_differential_evaluations
0,45544,15
0,268547,766
0,259827,1625
0,257029,2691
0,242194,3307
0,210364,3453
0,198588,5069
0,149607,4846
0,118287,6336
0,107598,22514
0,122242,45691
0,159167,107230
0,263007,201089
0,267009,260116
0,283018,196909
0,306918,66717
0,161905,18632
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,117
0,210869,617
0,137555,580
0,245384,2005
0,223766,5801
0,128400,5942
0,189539,12298
0,178666,14593
0,136997,12115
0,174061,70651
0,286323,35429
0,283084,17256
0,287762,11492
0,279747,40606
0,312968,250660
0,278911,35641
0,383,377
0,50075,117
0,255541,706
0,256096,1480
0,270812,2061
0,223766,5801
0,219200,12180
0,182646,11806
0,178106,14038
0,154044,24385
0,106912,20548
0,88426,17066
0,86671,31828
0,71267,21511
0,64324,22744
0,64768,27065
0,43722,20629
0,34290,17088
0,50126,33720
0,272452,238585
0,274057,195061
0,247034,170665
0,130897,89104
0,8201,2510
0,1282,465
0,0,0
0,50075,117
0,265911,743
0,230957,1358
0,183417,1155
0,124459,3563
0,216415,8562
0,204282,9685
0,146971,17284
0,144977,41075
0,254254,196158
0,219754,166900
0,177980,132599
0,274282,193980
0,270242,127437
0,294617,111718
0,292967,68687
0,262431,101005
0,249443,84522
0,47763,44090
0,64,63
0,45544,15
0,253873,1266
0,257587,1664
0,260680,2711
0,242136,3133
0,210532,3770
0,119521,2634
0,169839,5723
0,117081,5861
0,116208,10034
0,77148,8627
0,87794,27456
0,76167,25767
0,109205,60774
0,263363,59794
0,264614,218843
0,135325,118320
0,267757,229487
0,284612,282855
0,239279,201887
0,0,0
0,0,0
0,50075,117
0,265633,771
0,262096,1056
0,245721,1686
0,223766,5801
0,219200,12180
0,189431,12112
0,145200,11640
0,163286,20947
0,153294,21077
0,256240,57310
0,319117,21568
0,282851,152163
0,319131,268967
0,307397,13823
0,297557,15012
0,292961,49476
0,276943,213182
0,39211,5300
0,37656,8753
0,0,0
0,0,0
0,50075,117
0,266288,771
0,259523,1054
0,255499,6015
0,250908,13656
0,219559,14095
0,208284,15399
0,144906,11459
0,108721,10717
0,131112,21964
0,110817,33963
0,258377,228559
0,276271,46628
0,172885,35096
0,290854,226313
0,273233,97636
0,265047,232344
0,189297,153457
0,0,0
0,0,0
0,0,0
0,45544,15
0,267322,1321
0,248946,1483
0,250814,2035
0,241914,2705
0,210150,3018
0,198816,5122
0,169437,5477
0,130052,4962
0,97523,5015
0,95028,23272
0,83277,24991
0,64394,24633
0,74938,40859
0,50785,27574
0,76711,43918
0,78931,45098
0,261429,109883
0,263484,210946
0,251269,181247
0,249848,176107
0,242585,197448
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,15
0,258040,496
0,235648,710
0,255391,1718
0,241856,2347
0,210206,2931
0,165714,5834
0,174192,26138
0,144927,23626
0,114103,21612
0,127120,39733
0,78251,19621
0,70490,30677
0,261107,233868
0,255862,189783
0,144001,141479
0,266782,244438
0,287660,272922
0,259351,184933
0,241961,198063
0,0,0
0,0,0
0,50075,117
0,244638,771
0,237215,984
0,250013,1715
0,223766,5801
0,219200,12180
0,169324,10817
0,180761,14909
0,140566,28547
0,229228,114849
0,166565,86347
0,131307,74666
0,99131,55780
0,76121,37429
0,252353,145811
0,205985,149341
0,284160,189150
0,290726,67276
0,268,236
0,50075,117
0,145208,394
0,220517,894
0,248109,5796
0,251521,13717
0,219559,14010
0,208015,14920
0,161904,11987
0,149606,13690
0,89717,9549
0,89086,14090
0,88648,31231
0,66664,25783
0,254991,187371
0,260162,161952
0,266498,92443
0,282161,72256
0,253220,176613
0,228515,34607
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,15
0,265012,1238
0,255337,1622
0,254021,2793
0,242252,3532
0,210420,3654
0,198536,5099
0,141322,6784
0,150773,29707
0,122061,32648
0,107301,34429
0,97820,34597
0,79431,32960
0,66474,34395
0,52083,22039
0,51108,27755
0,71608,48890
0,126313,88346
