game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,7,1,6,4,0,0,-1,played,37,3cc119475ed0dc1d,3iar,0,0,0,0,0,0
1,20261002,7,7,8,4,0,0,-1,played,43,3df9eb8dda708666,3iar,0,0,0,0,0,0
2,20261003,7,7,8,4,0,0,-1,played,43,39b4474a1115d139,3iar,0,0,0,0,0,0
3,20261004,1,7,2,4,0,0,-1,played,37,9838fa30f3f144f9,3iar,0,0,0,0,0,0
4,20261005,1,7,2,4,0,1,-1,played,46,b98f5a171b7fe5a4,3iar,0,0,0,0,0,0
5,20261006,1,1,0,4,0,2,-1,played,46,2a6afd4d4fde6d0e,draw,1,0,1,0,0,0
6,20261007,1,7,2,4,0,0,-1,played,47,35938a54280b0474,3iar,0,0,0,0,0,0
7,20261008,1,1,0,4,0,0,-1,played,51,b95b4563d079d453,3iar,0,0,0,0,0,0
8,20261009,7,7,8,4,0,0,-1,played,45,7f941b589744171e,3iar,0,0,0,0,0,0
9,20261010,7,1,6,4,0,1,-1,played,46,4f662aa17067bfa9,3iar,0,0,0,0,0,0
10,20261011,1,7,2,4,0,0,-1,played,49,57aecfe0c810277e,3iar,0,0,0,0,0,0
11,20261012,1,7,2,4,0,1,-1,played,46,a43fa53e9ebe690c,3iar,0,0,0,0,0,0
12,20261013,7,7,8,4,0,0,-1,played,59,22b12e816aaf0143,3iar,0,0,0,0,0,0
13,20261014,1,7,2,4,0,0,-1,played,59,6ac4d0d5a2959a0d,3iar,0,0,0,0,0,0
14,20261015,7,1,6,4,0,0,-1,played,45,f857c6edd2cc3ded,count,0,0,0,0,0,0
15,20261016,1,7,2,4,0,0,-1,played,55,d440c5145cb66772,3iar,0,0,0,0,0,0
16,20261017,7,7,8,4,0,0,-1,played,43,69e93e86f45a34da,3iar,0,0,0,0,0,0
17,20261018,1,7,2,4,0,0,-1,played,51,6dd114378c18091e,3iar,0,0,0,0,0,0
18,20261019,1,1,0,4,0,0,-1,played,33,42f1bb9e746fa2c9,3iar,0,0,0,0,0,0
19,20261020,7,1,6,4,0,0,-1,played,49,0815ce15f8cf3ff7,3iar,0,0,0,0,0,0
20,20261021,1,7,2,4,0,0,-1,played,53,c76d5c1d1fa3059b,count,0,0,0,0,0,0
21,20261022,7,7,8,4,0,0,-1,played,51,986868c0ae1759b0,3iar,0,0,0,0,0,0
