player,evaluations,count_differential_evaluations
0,50075,132
0,258322,850
0,257979,1900
0,253308,2265
0,243716,3268
0,211807,3515
0,182482,3998
0,170449,4809
0,144228,19379
0,106891,11820
0,94992,14643
0,91526,32642
0,135447,95619
0,255092,204426
0,270177,59814
0,270567,49166
0,272407,236507
0,242743,197985
0,32,32
0,50075,132
0,261806,810
0,256238,2139
0,255849,2702
0,243602,3133
0,211919,3937
0,168578,7974
0,176294,12327
0,138470,11393
0,106174,10547
0,104051,20427
0,105395,41051
0,72616,30086
0,74053,37596
0,48125,21255
0,54467,29414
0,33067,16964
0,66126,45512
0,102563,72319
0,55552,38377
0,42793,28708
0,26,26
0,50075,132
0,246066,791
0,254873,2134
0,255104,2698
0,243602,3133
0,211919,3937
0,168578,7974
0,176294,12327
0,138470,11393
0,106174,10547
0,104051,20427
0,105395,41051
0,72616,30086
0,74053,37596
0,48125,21255
0,69327,41111
0,272465,81674
0,271615,240506
0,259472,196668
0,34118,12875
0,583,173
0,102,97
0,50075,132
0,254579,844
0,258449,1933
0,252325,2181
0,243660,3158
0,211863,3618
0,199849,4485
0,170648,20703
0,127856,13791
0,109014,12277
0,115297,26240
0,101039,40066
0,131796,76762
0,279188,254733
0,307102,265910
0,290314,243099
0,278591,228509
0,261766,75136
0,302,69
0,50075,132
0,257000,850
0,169798,809
0,235806,2072
0,243660,3158
0,211863,3618
0,182482,3997
0,155417,4081
0,141308,18708
0,115285,27759
0,86834,19757
0,90764,31422
0,94174,42891
0,264769,197983
0,250612,185746
0,247538,187761
0,245833,91884
0,238693,202565
0,267685,107692
0,244380,78280
0,177913,78296
0,0,0
0,0,0
0,50075,132
0,129282,420
0,178184,1127
0,258936,2628
0,243660,3158
0,211807,3465
0,200502,5146
0,171073,5478
0,128862,21009
0,266549,254202
0,256315,184111
0,247077,230454
0,256562,225294
0,250944,229787
0,130163,108787
0,214961,136665
0,255083,94111
0,259467,119581
0,268803,102665
0,67352,13197
0,0,0
0,0,0
0,0,0
0,50075,132
0,169726,576
0,160020,1395
0,244421,2501
0,243660,3158
0,211807,3723
0,200555,5610
0,151500,4879
0,152772,33767
0,271506,250079
0,258347,230324
0,282746,282262
0,272899,271616
0,271873,269759
0,289135,246755
0,277630,54699
0,280437,60962
0,276489,55482
0,267518,95701
0,259237,113167
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,132
0,266375,914
0,257526,1989
0,261437,2922
0,243716,3268
0,211807,3515
0,199955,4501
0,155309,4157
0,140330,18536
0,106337,16867
0,105878,33621
0,106550,40633
0,261492,153694
0,256469,67577
0,258329,61881
0,264930,73049
0,264047,108277
0,258265,202881
0,263811,217138
0,247920,202854
0,91644,69493
0,97854,78620
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,132
0,143761,460
0,145797,1314
0,126051,1159
0,126160,1866
0,211807,3504
0,169124,8350
0,160242,10825
0,137864,26427
0,133105,30825
0,119312,36792
0,87334,23870
0,104693,48277
0,66193,28933
0,114514,77512
0,271958,196202
0,263960,194129
0,269853,254949
0,274446,252719
0,258714,257474
0,269526,262507
0,0,0
0,0,0
0,50075,132
0,142265,459
0,157605,1594
0,253681,2609
0,243602,3133
0,211919,3937
0,168394,7627
0,193657,31866
0,148711,27927
0,116671,26539
0,143876,58840
0,287564,56751
0,266778,24255
0,268117,26362
0,270371,34058
0,273023,88049
0,269348,86951
0,247767,88122
0,239584,196157
0,257604,193475
0,47552,13061
0,560,183
0,0,0
0,50075,132
0,278307,885
0,263320,1947
0,261263,2536
0,243660,3158
0,211807,3465
0,182428,3819
0,155365,3919
0,118181,7171
0,127412,25290
0,261015,250217
0,263717,239005
0,260912,226728
0,252649,220623
0,279881,278301
0,290385,229210
0,260346,209928
0,272930,182089
0,244686,104267
0,243217,197472
