game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,4,5,4,5,0,0,-1,played,51,820282f22802d715,3iar,0,0,0,0,0,0
1,20261002,4,5,4,5,0,0,-1,played,49,de53d24bcda84c68,3iar,0,0,0,0,0,0
2,20261003,3,4,4,1,0,0,-1,played,53,f49abed0cde9274c,3iar,0,0,0,0,0,0
3,20261004,3,4,4,1,0,0,-1,played,62,27152548066bf2bd,count,0,0,0,0,0,0
4,20261005,4,3,4,3,0,0,-1,played,55,407707b528300959,3iar,0,0,0,0,0,0
5,20261006,5,4,4,7,0,0,-1,played,45,93bce9e2bf1a30c0,3iar,0,0,0,0,0,0
6,20261007,5,4,4,7,0,0,-1,played,55,8ffa4546543793d7,count,0,1,0,0,1,0
7,20261008,3,4,4,1,0,1,-1,played,44,721794bac0c08a14,3iar,0,0,0,0,0,0
8,20261009,5,4,4,7,0,1,-1,played,46,a7aeda70c0c71538,3iar,0,0,0,0,0,0
9,20261010,5,4,4,7,0,0,-1,played,55,69664314c452e29d,3iar,0,0,0,0,0,0
10,20261011,4,5,4,5,0,0,-1,played,41,3b4923b0ebdb5cae,3iar,0,0,0,0,0,0
11,20261012,4,3,4,3,0,1,-1,played,48,b2bad9cf59e69b75,3iar,0,0,0,0,0,0
12,20261013,5,4,4,7,0,0,-1,played,41,f66b519d7becda57,3iar,0,0,0,0,0,0
13,20261014,4,5,4,5,0,0,-1,played,41,91f2f664930bdce0,3iar,0,0,0,0,0,0
14,20261015,5,4,4,7,0,0,-1,played,37,813fb84f2ba6efa1,3iar,0,0,0,0,0,0
15,20261016,3,4,4,1,0,0,-1,played,39,78c43061586b4bef,3iar,0,0,0,0,0,0
16,20261017,5,4,4,7,0,0,-1,played,41,bbcf41c096ea5bee,3iar,0,0,0,0,0,0
17,20261018,4,5,4,5,0,0,-1,played,35,e7a0c76eccdf7288,3iar,0,0,0,0,0,0
18,20261019,5,4,4,7,0,0,-1,played,49,34ad09ab8d3b0a0c,3iar,0,0,0,0,0,0
19,20261020,4,3,4,3,0,0,-1,played,49,b840e6c9b9ae185b,3iar,0,0,0,0,0,0
20,20261021,3,4,4,1,0,0,-1,played,55,f1e96c2392d953b4,count,0,0,0,0,0,0
21,20261022,3,4,4,1,0,0,-1,played,47,7503340ead606a45,3iar,0,0,0,0,0,0
22,20261023,4,3,4,3,0,0,-1,played,54,06c81f3cfced0b51,count,0,0,0,0,0,0
