player,evaluations,count_differential_evaluations
0,50075,100
0,247603,592
0,164813,2774
0,144959,7929
0,223048,13557
0,219534,13284
0,208009,14846
0,175008,15090
0,134393,12612
0,100814,11680
0,103237,29228
0,97602,30519
0,48191,9906
0,66707,27259
0,70846,45196
0,238378,159878
0,240215,133576
0,130711,76664
0,145161,98951
0,162767,118977
0,230328,190278
0,236641,166179
0,185033,119422
0,100351,72948
0,0,0
0,0,0
0,50075,100
0,239342,512
0,168965,565
0,236471,1482
0,224591,5428
0,210327,10551
0,207695,13892
0,177665,12503
0,132394,23654
0,243389,211752
0,248771,195765
0,238777,187728
0,234654,179431
0,232807,168760
0,241250,187927
0,254585,214459
0,249740,41927
0,248387,57196
0,241702,182835
0,238609,188893
0,235823,176312
0,129911,90480
0,4179,2457
0,0,0
0,0,0
0,50075,100
0,242229,580
0,241843,1345
0,239460,1921
0,225631,6844
0,219084,12332
0,207363,13787
0,178149,13773
0,133875,26472
0,121933,33096
0,250648,226417
0,241121,179220
0,233082,207010
0,216894,18565
0,241531,36324
0,253938,31064
0,247652,35784
0,211624,34298
0,246446,84884
0,237231,45317
0,221267,80593
0,138097,72962
0,94587,79236
0,45381,42461
0,0,0
0,0,0
0,0,0
0,50075,100
0,243001,580
0,248198,4139
0,245788,12127
0,228216,11515
0,218544,12186
0,207413,14227
0,161502,11803
0,154273,13084
0,140289,21792
0,104092,21419
0,94203,18962
0,95197,28981
0,64115,23901
0,226643,109443
0,257329,130117
0,265002,124245
0,248798,168288
0,258492,192471
0,241457,188812
0,223300,158376
0,162024,120034
0,102447,70571
0,47547,35220
0,7615,5334
0,39,33
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,100
0,222941,494
0,223386,4064
0,141794,6599
0,214486,11263
0,118693,5375
0,207402,13857
0,161391,11318
0,154410,13130
0,107501,10955
0,162488,99682
0,83409,18216
0,84213,34856
0,88040,39284
0,70352,34614
0,44598,22765
0,29393,16752
0,167312,124964
0,105797,92647
0,103931,71186
0,42096,29032
0,180517,167261
0,42995,29239
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,100
0,237043,544
0,237204,2808
0,233739,12796
0,231997,12476
0,219226,14308
0,208313,15501
0,175357,15683
0,119622,10714
0,184612,76133
0,236942,63176
0,283982,45940
0,258898,36798
0,243269,66583
0,250689,84750
0,228893,68388
0,249488,78557
0,246601,105718
0,262793,53542
0,11100,8965
0,0,0
0,0,0
0,0,0
0,50075,100
0,229585,540
0,223028,899
0,217291,3632
0,117226,6074
0,85574,4648
0,178054,11314
0,177929,14389
0,136919,12032
0,135237,17698
0,101962,22740
0,86041,19308
0,126090,80389
0,75533,34068
0,61317,30017
0,106875,80932
0,239067,202222
0,241336,235235
0,263954,199522
0,261705,194722
0,254407,170207
0,237826,113650
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,100
0,250816,671
0,253992,1158
0,251283,9332
0,250046,11461
0,217972,11439
0,188309,11432
0,177565,14004
0,135747,10918
0,108682,20111
0,103559,33864
0,106094,32605
0,79087,29126
0,241673,124611
0,244914,80285
0,250166,81132
0,11982,9900
0,114389,86775
0,81400,64353
0,33760,33455
0,3331,3331
0,0,0
0,50075,100
0,125619,325
0,213325,814
0,239989,9103
0,227579,12424
0,219088,12090
0,207278,12940
0,158537,10727
0,123654,10482
0,122837,30148
0,114216,38601
0,94964,32723
0,106079,44256
0,94474,45790
0,64476,28580
0,61649,22328
0,48106,19549
0,237515,60223
0,238403,81646
0,230789,86132
0,7527,3163
0,85,23
0,0,0
0,50075,100
0,227702,537
0,209845,643
0,226985,7468
0,238883,11149
0,218196,11375
0,208268,14856
0,178521,14702
0,149724,27338
0,121542,25329
0,102121,32849
0,78917,29402
0,133676,87513
0,240320,195179
0,234969,195987
0,249242,96106
0,245426,172537
0,224494,137160
0,202312,132061
0,217050,135441
0,104984,63301
0,95917,63865
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,100
0,244183,515
0,239350,2991
0,239179,12031
0,236675,12364
0,219284,14257
0,207666,14660
0,158902,12306
0,149681,14233
0,102556,13221
0,107979,24984
0,249949,150784
0,141298,12630
0,291425,32614
0,257141,33657
0,253600,37758
0,253648,56622
0,246298,85776
0,150843,102141
0,100959,68863
0,10,8
0,50075,100
0,239286,507
0,241428,4129
0,236875,11985
0,236733,13060
0,218544,12186
0,188925,12119
0,182178,13658
0,143963,34798
0,135157,35511
0,99333,22096
0,76895,27500
0,105929,46353
0,253605,130972
0,263223,67042
0,261854,73462
0,255334,96777
0,233116,90686
0,200401,153604
0,133597,83666
0,7848,3564
0,19239,15793
0,0,0
0,0,0
0,50075,100
0,243188,552
0,144437,524
0,247943,1908
0,225979,8325
0,218540,11921
0,208738,14994
0,178137,12849
0,155704,21990
0,255789,229417
0,256699,235619
0,260922,137526
0,273093,40837
0,270798,116448
0,268152,111805
0,259979,68158
0,261592,114200
0,284598,239568
0,122434,85973
0,0,0
0,0,0
0,50075,100
0,250733,602
0,255660,1394
0,245117,4749
0,248005,14282
0,219617,14572
0,208060,15118
0,161994,11977
0,135634,11478
0,118170,25092
0,82189,15160
0,84953,24124
0,79952,24188
0,52996,16144
0,55963,21739
0,70320,43978
0,45204,20857
0,199640,169839
0,284966,176644
0,276052,81857
0,166,38
0,50075,100
0,259326,648
0,265133,1241
0,255199,4889
0,251757,14752
0,219561,14402
0,208114,15168
0,161890,12023
0,135886,12003
0,120383,29114
