game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,5,3,4,6,0,0,-1,played,51,5091de9d92617196,3iar,0,0,0,0,0,0
1,20261002,5,3,4,6,0,0,-1,played,55,ab2ac09e6bd1e295,3iar,0,0,0,0,0,0
2,20261003,3,3,4,0,0,0,-1,played,45,5c6188c6bf421c02,3iar,0,0,0,0,0,0
3,20261004,3,3,4,0,0,0,-1,played,61,32f713ded4bf7418,count,0,0,0,0,0,0
4,20261005,3,5,4,2,0,0,-1,played,49,02f2435251da2765,3iar,0,0,0,0,0,0
5,20261006,5,5,4,8,0,1,-1,played,52,3865edde3455d329,3iar,0,0,0,0,0,0
6,20261007,5,5,4,8,0,0,-1,played,55,ecaaac7fa4ef2048,3iar,0,0,0,0,0,0
7,20261008,3,3,4,0,0,0,-1,played,51,ab4f66488710301b,3iar,0,0,0,0,0,0
8,20261009,5,5,4,8,0,0,-1,played,53,6e3699ba534f4a97,count,0,0,0,0,0,0
9,20261010,5,5,4,8,0,0,-1,played,49,385af81452e27be1,3iar,0,0,0,0,0,0
10,20261011,5,3,4,6,0,1,-1,played,52,d2af11e9fd009a65,3iar,0,0,0,0,0,0
11,20261012,3,5,4,2,0,0,-1,played,49,d08c734224700d1d,3iar,0,0,0,0,0,0
12,20261013,5,5,4,8,0,0,-1,played,43,a479ab347c15a456,3iar,0,0,0,0,0,0
13,20261014,5,3,4,6,0,0,-1,played,45,6b82edd36e2409f6,3iar,0,0,0,0,0,0
14,20261015,5,5,4,8,0,0,-1,played,55,fa40106396a2e8c7,3iar,0,0,0,0,0,0
15,20261016,3,3,4,0,0,0,-1,played,41,c2c5b7347d5a03b5,3iar,0,0,0,0,0,0
16,20261017,5,5,4,8,0,0,-1,played,45,292565b2bd6314d1,3iar,0,0,0,0,0,0
17,20261018,5,3,4,6,0,0,-1,played,45,67ffada755847a9d,3iar,0,0,0,0,0,0
18,20261019,5,5,4,8,0,0,-1,played,45,19e0c7dd1b01285b,3iar,0,0,0,0,0,0
19,20261020,3,5,4,2,0,0,-1,played,49,caeee5650dde9cc4,3iar,0,0,0,0,0,0
20,20261021,3,3,4,0,0,0,-1,played,47,60977595d024a6d1,3iar,0,0,0,0,0,0
21,20261022,3,3,4,0,0,2,-1,played,54,bda739010c52d269,draw,0,0,0,0,0,0
22,20261023,3,5,4,2,0,0,-1,played,53,6d2fa4d2bd211bc8,3iar,0,0,0,0,0,0
23,20261024,3,3,4,0,0,0,-1,played,39,4e7e0c13d580f00f,3iar,0,0,0,0,0,0
24,20261025,3,5,4,2,0,0,-1,played,45,8c40a096b72c4c66,3iar,0,0,0,0,0,0
25,20261026,3,5,4,2,0,0,-1,played,47,cc7ca73eecd79501,3iar,0,0,0,0,0,0
