player,evaluations,count_differential_evaluations
0,50075,115
0,239126,623
0,251826,6581
0,256691,12713
0,251523,15049
0,219340,14835
0,208158,16400
0,177655,14581
0,136010,25308
0,96649,15112
0,115596,28621
0,111790,42257
0,70555,27009
0,57378,26072
0,50867,20660
0,47677,23547
0,37338,23344
0,147946,112045
0,161015,129791
0,198727,151709
0,262964,182114
0,234452,164554
0,38193,19414
0,0,0
0,0,0
0,0,0
0,50075,115
0,205454,564
0,236455,6321
0,240285,12435
0,230913,12945
0,219284,14512
0,208104,16161
0,177603,14354
0,136010,25464
0,128117,28208
0,93358,16804
0,88029,28630
0,73157,33557
0,58175,22843
0,48908,24739
0,70208,40555
0,87637,60507
0,158501,115451
0,271471,120833
0,251124,152795
0,137502,108888
0,78732,68366
0,40540,26725
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,239600,668
0,246310,7666
0,241944,12467
0,239415,14736
0,219284,14512
0,208061,16444
0,162077,14101
0,154057,14908
0,122977,31115
0,240060,204609
0,246501,219052
0,240931,211453
0,238700,195946
0,246091,210315
0,207232,171446
0,255619,60359
0,245238,82738
0,270204,242923
0,245266,202300
0,232656,181104
0,143834,112798
0,0,0
0,50075,115
0,140207,420
0,148653,6239
0,224398,10508
0,235906,14743
0,219340,14835
0,208652,15713
0,159528,13008
0,134579,12488
0,113644,11776
0,89132,11402
0,76071,12997
0,58339,14231
0,55870,20773
0,54714,21262
0,37133,15669
0,77536,56969
0,38453,21488
0,26608,14117
0,27339,16966
0,29401,20560
0,27266,15130
0,132240,53349
0,27676,12597
0,78153,47641
0,27923,22464
0,27237,17805
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,241738,673
0,248440,6553
0,246717,12553
0,235195,12801
0,219340,14835
0,165686,12091
0,126163,9733
0,137342,12941
0,138041,24487
0,78261,12062
0,89051,28750
0,109206,51495
0,71047,33893
0,67399,37993
0,237517,147920
0,256495,74693
0,226781,84909
0,220361,158505
0,218379,100057
0,143199,82820
0,78307,48175
0,0,0
0,0,0
0,0,0
0,50075,115
0,227645,633
0,212849,4249
0,128690,7341
0,224454,13967
0,219284,14512
0,189467,14052
0,178673,14844
0,162566,25961
0,113970,22117
0,98314,24824
0,71116,22970
0,106234,69913
0,88278,60734
0,233953,202515
0,211588,176594
0,242878,176867
0,163544,121072
0,250564,102905
0,186953,78393
0,244568,189195
0,16490,7480
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,246116,719
0,242905,6411
0,242322,13808
0,237686,14381
0,219284,14512
0,189467,14052
0,178173,15957
0,125040,17810
0,112633,23642
0,107073,18985
0,97981,26958
0,239924,144499
0,254193,44242
0,253959,64747
0,262694,111916
0,261184,226002
0,239882,205770
0,224052,167990
0,131208,52288
0,166013,60727
0,154022,69382
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,251352,769
0,243305,7658
0,232660,12314
0,239841,14738
0,219284,14512
0,208608,17089
0,159638,14590
0,132975,12670
0,114582,27085
0,108416,28742
0,91679,36554
0,71648,32625
0,53759,20718
0,41410,20195
0,48699,25353
0,35151,17168
0,51802,37121
0,115965,81729
0,187161,69123
0,165097,69837
0,181054,112658
0,9102,8969
0,14776,14576
0,10550,10309
0,0,0
0,50075,115
0,255006,749
0,245477,6445
0,247683,13941
0,247563,14903
0,219340,14835
0,189860,13750
0,177696,14488
0,139568,28740
0,127721,28563
0,109730,35891
0,83823,27501
0,75920,34170
0,219887,184772
0,214050,123868
0,208333,41609
0,215246,68239
0,219102,85843
0,188221,88995
0,248139,208086
0,145283,117109
0,35788,27423
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,253842,747
0,244532,6430
0,247826,13897
0,243863,14577
0,219284,14512
0,189467,14052
0,178173,15957
0,141157,30944
0,130649,28587
0,243919,214328
0,250542,16849
0,251181,30612
0,284603,251879
0,248144,207325
0,170348,162280
0,265126,179245
0,253975,161709
0,260731,184172
0,166202,115153
0,191066,139189
0,18646,13611
0,2104,1268
0,0,0
0,0,0
0,50075,115
0,131804,393
0,138392,2874
0,220918,12752
0,239706,14118
0,217739,14752
0,208652,15713
0,175683,15648
0,134558,12505
0,105498,12453
0,98598,15007
0,85435,24414
0,51242,12094
0,58675,18991
0,55001,22837
0,223146,128247
0,230334,179879
0,230618,96676
0,237739,117641
0,164161,121654
0,95827,40975
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,197832,528
0,223502,6498
0,247162,12561
0,246364,14811
0,219284,14512
0,208608,17089
0,178901,16942
0,135290,13464
0,113533,11822
0,88998,15048
0,71907,21049
0,74535,28929
0,61711,21363
0,223394,182424
0,252774,45783
0,247097,60716
0,239259,64598
0,258243,196406
0,237058,174602
0,230092,165279
0,201162,126477
0,238726,160674
0,3948,1552
0,147,49
0,50075,115
0,232622,638
0,248533,6519
0,249080,13909
0,248655,14844
0,94606,7300
0,208050,15791
0,177551,13999
0,140053,11705
0,136885,31438
0,100773,24455
0,98825,36396
0,111520,40736
0,277712,122434
0,282869,56661
0,275752,86994
0,277279,203680
0,284069,218049
0,264867,169153
0,221333,132197
0,101779,63641
0,232,179
0,50075,115
0,257325,737
0,247728,6528
0,253794,12668
0,251523,15049
0,219340,14835
0,208652,15713
0,161660,12442
0,131124,16481
0,111845,28122
0,138167,43228
0,97383,36487
0,61174,22585
0,96299,63850
0,232085,173975
0,173381,132940
0,243741,182477
0,210143,148335
0,252972,148604
0,232450,185868
0,129348,115112
0,83692,82371
0,116,116
0,50075,115
0,176034,541
0,197621,4025
0,247387,13941
0,249236,14955
0,219340,14835
0,208169,16767
0,162025,14105
0,149286,14207
0,107055,19486
0,258939,234127
0,259580,224770
0,253012,220303
0,257419,213518
0,256108,114190
0,260404,32349
0,263304,43474
0,253606,68585
0,237851,88025
0,242593,104908
0,242227,89958
0,52620,41545
0,33096,16506
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,50075,115
0,257442,773
0,232766,7643
0,140230,6955
0,133874,5768
0,219340,14835
0,208652,15713
0,175683,15648
0,134558,12505
0,114422,25654
0,256423,234208
0,262078,232416
0,250943,220376
0,169182,168086
0,270759,241607
0,278205,257954
0,265561,238102
0,254416,221620
0,254799,218054
0,254557,252230
0,189,178
0,50075,115
0,249551,746
0,256606,6634
0,254848,14030
0,245493,14628
0,219284,14512
0,189467,14052
0,178673,14844
0,162566,25961
0,122629,30593
0,160356,141112
0,251737,33243
0,246603,45370
0,209853,56962
0,241723,90228
0,253148,97024
0,241999,88685
0,245040,98896
0,255363,101172
0,234941,102004
0,252916,194751
0,219382,78245
0,229,35
0,50075,115
0,239399,623
0,243958,6482
0,242820,12491
0,247196,14882
0,219284,14512
0,189575,14352
0,178841,16756
0,135106,17231
0,116544,11912
0,97165,23754
0,101933,37202
0,241777,218199
0,254408,136827
0,254623,44931
0,243664,53013
0,239471,101929
0,147000,22458
0,240108,221848
0,230111,204670
0,80409,65947
0,0,0
0,0,0
0,50075,115
0,240509,646
0,235379,6307
0,236794,12979
0,231442,14100
0,219284,14512
0,208169,16856
0,162129,14278
0,149286,14296
0,112844,11643
0,89290,18806
0,84037,26429
0,63972,22404
0,69093,30583
0,52633,20161
0,49890,23867
0,80505,55428
0,226057,149857
0,234830,214568
0,221103,210174
0,216901,192355
0,180444,112201
0,0,0
0,50075,115
0,229145,645
0,233587,6527
0,233139,12340
0,228802,12509
0,112532,7936
0,164683,11584
0,177696,14514
0,139516,28544
0,111443,15768
0,107973,22299
0,81356,19635
0,78960,29498
0,58537,22759
0,82089,38297
0,239897,204088
0,264280,239015
0,254518,219429
0,247397,194726
0,78382,59779
0,74420,30192
0,139941,69305
0,0,0
0,0,0
0,0,0
0,50075,115
0,255799,773
0,240793,7654
0,249710,12601
0,222740,12809
0,196284,12232
0,208061,16444
0,162077,14101
0,154057,14908
0,122977,31115
0,239788,201574
0,263605,38463
0,290074,262058
0,297722,262403
0,286597,257789
0,319319,28800
0,298315,29450
0,281907,36751
0,188363,165120
0,10126,6348
0,0,0
0,0,0
0,0,0
0,0,0
