game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
0,20261001,4,4,4,4,0,0,-1,played,59,8ee232b808947910,3iar,0,0,0,0,0,0
1,20261002,4,4,4,4,0,0,-1,played,53,b3755bde2ee98d34,3iar,0,0,0,0,0,0
2,20261003,4,4,4,4,0,0,-1,played,53,a0c1760edfd6f679,3iar,0,0,0,0,0,0
3,20261004,4,4,4,4,0,0,-1,played,47,13198a1f90faae3f,3iar,0,0,0,0,0,0
4,20261005,4,4,4,4,0,0,-1,played,47,cc14eb71ca1d8ce8,3iar,1,0,0,1,0,0
5,20261006,4,4,4,4,0,0,-1,played,47,e91be8a6045b1bcb,3iar,0,0,0,0,0,0
6,20261007,4,4,4,4,0,1,-1,played,46,190e0be5a026531f,3iar,0,0,0,0,0,0
7,20261008,4,4,4,4,0,0,-1,played,49,c4fa9c894790c0ad,3iar,0,0,0,0,0,0
8,20261009,4,4,4,4,0,0,-1,played,41,fa2fdf7a27c44314,3iar,0,0,0,0,0,0
9,20261010,4,4,4,4,0,2,-1,played,56,cc63fa478b9e2a62,draw,0,0,0,0,0,0
10,20261011,4,4,4,4,0,0,-1,played,47,89b5c8632933d9c5,3iar,0,0,0,0,0,0
11,20261012,4,4,4,4,0,0,-1,played,49,4c6127d414e70303,3iar,0,0,0,0,0,0
12,20261013,4,4,4,4,0,0,-1,played,41,d1f22446eaaaf53b,3iar,0,0,0,0,0,0
13,20261014,4,4,4,4,0,0,-1,played,39,7988c2339309f640,3iar,1,0,1,0,0,0
14,20261015,4,4,4,4,0,0,-1,played,49,25b4749554d65851,3iar,0,0,0,0,0,0
15,20261016,4,4,4,4,0,0,-1,played,49,1c15d02ed9d75447,3iar,0,0,0,0,0,0
16,20261017,4,4,4,4,0,0,-1,played,41,1bdfe723fce16f1c,3iar,0,0,0,0,0,0
17,20261018,4,4,4,4,0,0,-1,played,45,da4b0b00656fb893,3iar,0,0,0,0,0,0
18,20261019,4,4,4,4,0,0,-1,played,45,9dadc05e86250a9f,3iar,0,0,0,0,0,0
19,20261020,4,4,4,4,0,0,-1,played,39,8af0264d1887a326,3iar,0,0,0,0,0,0
20,20261021,4,4,4,4,0,0,-1,played,47,0a7af6e8129dd1bf,3iar,0,0,0,0,0,0
21,20261022,4,4,4,4,0,0,-1,played,51,2eb761967d6d8785,3iar,0,0,0,0,0,0
22,20261023,4,4,4,4,0,0,-1,played,45,43e5033bb89cb373,3iar,0,0,0,0,0,0
23,20261024,4,4,4,4,0,1,-1,played,42,a7696148bae18082,3iar,0,0,0,0,0,0
24,20261025,4,4,4,4,0,0,-1,played,41,2b4e65d2125fcf8a,3iar,0,0,0,0,0,0
25,20261026,4,4,4,4,0,0,-1,played,47,161a11bdc2772877,3iar,1,0,0,1,0,0
26,20261027,4,4,4,4,0,0,-1,played,49,dc19706c2a68c056,3iar,0,0,0,0,0,0
27,20261028,4,4,4,4,0,0,-1,played,43,15f3e4170f8e386d,3iar,0,0,0,0,0,0
28,20261029,4,4,4,4,0,0,-1,played,45,7406ae2c6b4a3502,3iar,0,0,0,0,0,0
29,20261030,4,4,4,4,0,0,-1,played,53,6df711d5625a59e7,3iar,0,0,0,0,0,0
30,20261031,4,4,4,4,0,0,-1,played,37,3644c587f3bbeda4,3iar,0,0,0,0,0,0
31,20261032,4,4,4,4,0,0,-1,played,49,f9f5c2748c932178,3iar,0,0,0,0,0,0
32,20261033,4,4,4,4,0,1,-1,played,49,9d6cb8069eafbb3d,count,0,0,0,0,0,0
33,20261034,4,4,4,4,0,0,-1,played,53,c5fe8add00cdee1f,3iar,0,0,0,0,0,0
34,20261035,4,4,4,4,0,0,-1,played,53,640f68c61463c29a,3iar,0,0,0,0,0,0
35,20261036,4,4,4,4,0,0,-1,played,51,4b7d65d477c5ebbf,count,1,1,1,0,1,0
36,20261037,4,4,4,4,0,0,-1,played,37,aa41de23921e0d9c,3iar,0,0,0,0,0,0
37,20261038,4,4,4,4,0,1,-1,played,42,d4da8b56fc544390,3iar,0,0,0,0,0,0
38,20261039,4,4,4,4,0,0,-1,played,43,f0ad1163d157b4a1,3iar,0,0,0,0,0,0
39,20261040,4,4,4,4,0,1,-1,played,48,4cf26c52b9336c81,3iar,0,0,0,0,0,0
40,20261041,4,4,4,4,0,0,-1,played,41,178fa3b93e4bc058,3iar,0,0,0,0,0,0
41,20261042,4,4,4,4,0,0,-1,played,43,acd738c929eaa33a,3iar,0,0,0,0,0,0
42,20261043,4,4,4,4,0,0,-1,played,55,de039b9d4f934f72,3iar,0,0,0,0,0,0
43,20261044,4,4,4,4,0,1,-1,played,46,72b994c390ea8e40,3iar,0,0,0,0,0,0
44,20261045,4,4,4,4,0,0,-1,played,45,1d3653afa7bfde1b,3iar,0,0,0,0,0,0
45,20261046,4,4,4,4,0,0,-1,played,51,600d176aac8f4422,3iar,0,0,0,0,0,0
46,20261047,4,4,4,4,0,0,-1,played,53,cb145007db8e6c46,3iar,1,0,1,0,0,0
47,20261048,4,4,4,4,0,1,-1,played,50,ed3a16a688046c8f,3iar,0,0,0,0,0,0
48,20261049,4,4,4,4,0,1,-1,played,48,aff559f741d67a89,3iar,0,0,0,0,0,0
49,20261050,4,4,4,4,0,0,-1,played,45,00e4b151c9b1a3ac,3iar,0,0,0,0,0,0
50,20261051,4,4,4,4,0,0,-1,played,49,9b2f72de18dba989,3iar,0,0,0,0,0,0
51,20261052,4,4,4,4,0,0,-1,played,57,fd39de3208147119,3iar,0,0,0,0,0,0
52,20261053,4,4,4,4,0,0,-1,played,51,6fd68a5bb184a27a,3iar,0,0,0,0,0,0
53,20261054,4,4,4,4,0,0,-1,played,47,1d81d182a91efc47,3iar,0,0,0,0,0,0
54,20261055,4,4,4,4,0,0,-1,played,35,78125657597dd465,3iar,0,0,0,0,0,0
55,20261056,4,4,4,4,0,1,-1,played,42,1c060885a5f7c0e8,3iar,1,1,0,1,0,1
56,20261057,4,4,4,4,0,0,-1,played,51,9a91b4ba9c15a072,3iar,0,0,0,0,0,0
57,20261058,4,4,4,4,0,0,-1,played,39,3cd79a57c88dfb13,3iar,0,0,0,0,0,0
58,20261059,4,4,4,4,0,0,-1,played,51,6c125e56e091b552,3iar,0,0,0,0,0,0
59,20261060,4,4,4,4,0,0,-1,played,41,3adf5b18b9b271dc,3iar,0,0,0,0,0,0
60,20261061,4,4,4,4,0,0,-1,played,39,08c2035db973eb9a,3iar,0,0,0,0,0,0
61,20261062,4,4,4,4,0,0,-1,played,41,10d805444371d2fb,3iar,0,0,0,0,0,0
62,20261063,4,4,4,4,0,0,-1,played,43,9b381a5291c5a255,3iar,1,0,0,1,0,0
63,20261064,4,4,4,4,0,0,-1,played,51,d12f9da097095ac5,3iar,0,0,0,0,0,0
