player,evaluations,count_differential_evaluations
0,45544,12
0,252926,828
0,230139,941
0,225624,1657
0,220526,1931
0,210094,2586
0,198062,3545
0,167879,19134
0,124817,14629
0,140950,27251
0,109068,24162
0,81952,22653
0,75352,29514
0,89400,47624
0,70052,35161
0,87572,48297
0,64984,36430
0,230561,170901
0,251312,119248
0,251408,159019
0,241775,147267
0,232705,133295
0,243056,87540
0,113909,43489
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,12
0,177660,435
0,219687,915
0,163207,1035
0,143446,1361
0,210094,2491
0,198064,3478
0,168672,3461
0,118451,4742
0,122654,20135
0,86560,9395
0,82192,18540
0,71085,20807
0,63192,25523
0,50051,20125
0,33515,14565
0,232993,195676
0,254346,180252
0,238721,180943
0,236784,176836
0,72380,25046
0,21716,8710
0,1755,701
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,12
0,245403,823
0,238763,9754
0,233381,12672
0,244886,14545
0,219338,14636
0,226100,36506
0,252494,238333
0,251108,231890
0,252278,231159
0,249234,227451
0,231980,205454
0,246274,131612
0,249100,205683
0,246171,99660
0,226412,83176
0,236859,63055
0,250236,74853
0,243698,134072
0,233339,157614
0,47090,17655
0,40911,17492
0,92249,41497
0,4059,1619
0,0,0
0,0,0
0,0,0
0,45544,12
0,194752,626
0,243156,9782
0,210507,9850
0,208391,11252
0,205372,11410
0,188743,11538
0,161642,11910
0,136586,11634
0,113802,11180
0,91279,18367
0,82328,25252
0,71375,30446
0,116561,67013
0,65121,35526
0,235308,189528
0,247206,217217
0,247751,141814
0,248872,245393
0,211208,168625
0,84607,64734
0,0,0
0,0,0
0,0,0
0,45544,12
0,239562,803
0,233914,954
0,210619,1801
0,139877,1321
0,167423,2243
0,198822,4740
0,153788,3459
0,143754,4575
0,110468,21004
0,262179,248759
0,263933,241629
0,248965,223902
0,262238,59287
0,270208,253233
0,237726,219332
0,50484,42151
0,181139,180061
0,211940,209507
0,106938,84916
0,18368,13055
0,0,0
0,0,0
0,0,0
0,45544,12
0,117738,319
0,121902,374
0,219634,1254
0,238580,1841
0,210094,2510
0,198116,3572
0,167836,3695
0,136574,13520
0,99786,7806
0,90362,18868
0,81344,24153
0,76250,30096
0,95087,62626
0,59676,27595
0,46488,24207
0,42897,23193
0,32638,16078
0,37270,26733
0,76889,61000
0,108259,76123
0,33232,29403
0,2911,2729
0,0,0
0,45544,12
0,232982,763
0,236574,1006
0,226953,1952
0,233885,2520
0,210308,2849
0,165939,11647
0,160253,14688
0,138140,14209
0,103019,10565
0,87337,10796
0,75967,23435
0,59799,12817
0,60866,18599
0,54354,20662
0,37808,15141
0,48655,28307
0,233544,171537
0,227330,100319
0,241525,149712
0,168809,116380
0,30779,19992
0,0,0
0,45544,12
0,126868,341
0,222170,993
0,234792,4674
0,234792,8067
0,216526,8689
0,205472,11093
0,143847,11667
0,114360,12129
0,160343,48169
0,128518,37047
0,97723,38831
0,136069,94857
0,244606,185362
0,242132,150852
0,257291,249860
0,263355,248687
0,256733,252090
0,234476,226574
0,150567,145089
0,221670,216592
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,12
0,251707,826
0,237405,1007
0,250470,2043
0,241695,2677
0,210364,2957
0,172998,20480
0,168201,24169
0,142823,23051
0,138450,29038
0,103788,30542
0,84823,25126
0,99365,47057
0,62664,28965
0,42207,17290
0,44609,20087
0,244390,56773
0,232138,199623
0,237499,187596
0,232354,187601
0,97,97
0,45544,12
0,171978,432
0,209610,912
0,190238,1054
0,234788,2163
0,210150,2742
0,198116,3668
0,168290,4248
0,116541,6335
0,115709,13894
0,107224,27553
0,61996,15290
0,92141,41960
0,65907,24970
0,54330,28012
0,47260,24950
0,38454,20822
0,57369,40546
0,201404,121357
0,167403,116426
0,218395,206124
0,222851,165541
0,64954,36462
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,45544,12
0,238589,725
0,214529,894
0,217860,1652
0,216289,2268
0,204413,2886
0,180807,3171
0,168970,4784
0,116945,5975
0,125179,24004
0,94517,21603
0,78045,16187
0,59042,14934
0,66137,27262
0,50556,20692
0,75418,50544
