class,grid,cell,row,col,samples,wins,losses,draws,match_score
BASE,4,4,4,4,100,85,13,2,0.86
MM,4,4,4,4,100,81,18,1,0.815
MD,4,0,3,3,27,22,3,2,0.8518518518518519
MD,4,2,3,5,20,17,2,1,0.875
MD,4,6,5,3,25,20,4,1,0.82
MD,4,8,5,5,28,27,1,0,0.9642857142857143
MC,4,1,3,4,27,25,2,0,0.9259259259259259
MC,4,3,4,3,20,18,2,0,0.9
MC,4,5,4,5,25,23,2,0,0.92
MC,4,7,5,4,28,24,4,0,0.8571428571428571
DM,0,4,1,1,21,15,4,2,0.7619047619047619
DM,2,4,1,7,37,32,5,0,0.8648648648648649
DM,6,4,7,1,24,16,6,2,0.7083333333333334
DM,8,4,7,7,18,15,3,0,0.8333333333333334
DD,0,0,0,0,6,5,1,0,0.8333333333333334
DD,0,2,0,2,6,6,0,0,1.0
DD,0,6,2,0,4,4,0,0,1.0
DD,0,8,2,2,5,4,0,1,0.9
DD,2,0,0,6,8,7,1,0,0.875
DD,2,2,0,8,11,10,1,0,0.9090909090909091
DD,2,6,2,6,9,7,1,1,0.8333333333333334
DD,2,8,2,8,9,9,0,0,1.0
DD,6,0,6,0,8,7,1,0,0.875
DD,6,2,6,2,2,2,0,0,1.0
DD,6,6,8,0,7,7,0,0,1.0
DD,6,8,8,2,7,6,1,0,0.8571428571428571
DD,8,0,6,6,5,2,3,0,0.4
DD,8,2,6,8,1,0,1,0,0.0
DD,8,6,8,6,5,5,0,0,1.0
DD,8,8,8,8,7,5,2,0,0.7142857142857143
DC,0,1,0,1,6,6,0,0,1.0
DC,0,3,1,0,6,4,2,0,0.6666666666666666
DC,0,5,1,2,4,3,1,0,0.75
DC,0,7,2,1,5,5,0,0,1.0
DC,2,1,0,7,8,6,1,1,0.8125
DC,2,3,1,6,11,9,2,0,0.8181818181818182
DC,2,5,1,8,9,6,3,0,0.6666666666666666
DC,2,7,2,7,9,8,1,0,0.8888888888888888
DC,6,1,6,1,8,7,0,1,0.9375
DC,6,3,7,0,2,1,1,0,0.5
DC,6,5,7,2,7,5,2,0,0.7142857142857143
DC,6,7,8,1,7,7,0,0,1.0
DC,8,1,6,7,5,4,0,1,0.9
DC,8,3,7,6,1,0,1,0,0.0
DC,8,5,7,8,5,3,2,0,0.6
DC,8,7,8,7,7,6,1,0,0.8571428571428571
CM,1,4,1,4,21,19,1,1,0.9285714285714286
CM,3,4,4,1,37,30,6,1,0.8243243243243243
CM,5,4,4,7,24,18,3,3,0.8125
CM,7,4,7,4,18,12,6,0,0.6666666666666666
CD,1,0,0,3,6,5,1,0,0.8333333333333334
CD,1,2,0,5,6,4,2,0,0.6666666666666666
CD,1,6,2,3,4,4,0,0,1.0
CD,1,8,2,5,5,3,2,0,0.6
CD,3,0,3,0,8,7,1,0,0.875
CD,3,2,3,2,11,8,1,2,0.8181818181818182
CD,3,6,5,0,9,8,1,0,0.8888888888888888
CD,3,8,5,2,9,7,0,2,0.8888888888888888
CD,5,0,3,6,8,7,1,0,0.875
CD,5,2,3,8,2,2,0,0,1.0
CD,5,6,5,6,7,5,1,1,0.7857142857142857
CD,5,8,5,8,7,5,2,0,0.7142857142857143
CD,7,0,6,3,5,5,0,0,1.0
CD,7,2,6,5,1,1,0,0,1.0
CD,7,6,8,3,5,5,0,0,1.0
CD,7,8,8,5,7,7,0,0,1.0
CC,1,1,0,4,6,4,1,1,0.75
CC,1,3,1,3,6,6,0,0,1.0
CC,1,5,1,5,4,3,1,0,0.75
CC,1,7,2,4,5,5,0,0,1.0
CC,3,1,3,1,8,8,0,0,1.0
CC,3,3,4,0,11,10,1,0,0.9090909090909091
CC,3,5,4,2,9,9,0,0,1.0
CC,3,7,5,1,9,8,1,0,0.8888888888888888
CC,5,1,3,7,8,3,3,2,0.5
CC,5,3,4,6,2,1,0,1,0.75
CC,5,5,4,8,7,7,0,0,1.0
CC,5,7,5,7,7,5,2,0,0.7142857142857143
CC,7,1,6,4,5,4,1,0,0.8
CC,7,3,7,3,1,1,0,0,1.0
CC,7,5,7,5,5,5,0,0,1.0
CC,7,7,8,4,7,6,0,1,0.9285714285714286
